Gene	FTY_1	FTY_2	FTY_3	FTY_Eto_1	FTY_Eto_2	FTY_Eto_3
SNX12	2871457.897	4826885.518	2430081.191	7044834.25	5961406.492	7883253.781
NRP1	2781322.486	1460089.61	2365717.487	389985.625	776074.7924	774362.7557
EPG5	689423.0828	686137.7421	1285179.88	158145.1094	177703.1181	151466.1145
EIF3J	8470457.228	8837822.4	7045081.919	5655464.375	5805946.195	5742469.71
STX18	409707.4915	480164.7285	550029.907	679895.7813	880952.4073	977520.0696
SNX18	703409.7514	1496647.561	6077158.739	9059162.063	9931871.758	8772697.682
SSBP1	20572598.93	19715743.71	21964877.19	26007694.53	27519676.06	26739835.46
BCAP31	32186062.33	17751959.23	35079606.57	58939216.44	59929170.97	54792424.88
ACOX1	2828919.005	1128096.254	2072610.162	3754563.844	4750792.642	3807904.257
WNK1	2200391.708	3386922.905	3424275.093	523627.4375	1572183.141	1360783.208
SCRN1	15459180.11	18998847.73	15408288.63	11613222.4	9641018.66	10009458.12
GBA1	15453987.73	7779883.79	11897642.25	20414186.84	18786977.63	19667856.19
PSMD6	6141878.686	6609495.551	7096713.609	4477819.391	4526817.824	4720324.734
AAMDC	645340.2885	897668.6675	815790.1996	2519001.375	1643136.281	1678931.824
YWHAQ	37026579.89	30029466.98	40958087.59	66621728.45	72408123.81	66480041.16
PSMB1	16173830.39	19914656.78	14147730.97	9179152.734	7889893.355	8303108.783
DTYMK	20108467.96	24982655.67	14634788.8	31681731.53	32517519.09	30404066.37
ANXA6	411213382.9	383036567.6	398906062.8	478719389.4	443005960.5	487593569.7
RPL19	47656157.56	79880604.5	72566810.52	32507645.3	24035602.04	24016865.66
REV3L	4812025.983	2536932.414	1518355.76	7743709.5	8259196.063	7043382.255
IGF2BP2	8094373.498	5980636.309	8117558.974	9960639.027	10385900.95	10367658.67
DNAJB1	5095074.621	6048046.58	3533264.517	2298592.936	2004785.536	1933373.098
ARCN1	27303007.77	11527644.26	28339558.72	42380000.81	41565856.41	37368556.94
RPS15	18004441.98	13736019.18	16360408.59	25190360.75	23001305.26	25145789.14
EIF5	5887107.975	3952025.331	9178825.299	11831273.56	12776533.04	11891010.8
MYH11	643706.3439	1228426.182	994765.902	2404129.938	2611326.631	2937668.394
ACOT9	10958418.38	4535514.52	7815690.471	13643450.98	16055942.46	14646227.93
GALNT10	581412.3071	760227.9851	986394.3203	1604021.125	1244207.899	1313386.898
FKBP9	24422778.66	19938512.59	25106710.55	28950003.22	34038354.56	33025561.17
NEDD8	881556.5019	970503.972	744010.0861	1815868.25	2209603.304	2292203.277
SLC25A24	15814221.61	6666462.893	11770969.36	21788091.71	20142968.57	20052172.93
AP1M1	10480703.87	12377685.19	7635245.97	6107629.125	5359843.317	4721335.078
ATL2	174608.3991	177646.5062	222889.1825	133488.3594	110802.5534	139420.5044
PHGDH	18470643.08	8187759.889	21451467.82	26789280.5	30209473.33	29289536.76
SORBS3	2296641.96	6370562.249	13993562.5	18151390	17522176.77	18388335.16
POTEI	958716.8021	1104557.831	645713.1914	337326.4121	370435.5358	248163.5477
SET	49346095.1	47388708.99	47213796.06	39863931.3	40244171.69	35759674.2
SRGAP1	2550377.847	266801.6723	754989.1868	4031471.641	3366920.496	3675784.678
VPS33B	1761928.111	778639.7656	1626948.97	474915.4688	479179.3094	254754.8969
HNRNPK	205141132.6	159119821.7	153407054.5	119071162.1	121974720	119552077.3
SERPINA3-1	2398706.901	241993.6122	1864728.43	5604683.25	3774991.768	3555214.133
FAM3C	7571372.361	7118882.536	5940176.136	15478295.91	14593828.61	14569957.78
OSBPL8	9172439.321	1145352.779	5276344.507	12337029.41	13536442.7	12082142.44
HMGB1	82137583.91	95538143.88	128545060.4	63510318.64	55457389.41	55847056.95
GET3	4825445.453	6281243.122	7708688.16	8252188.688	9626294.571	9540216.388
TUBA1C	1528754566	1265775188	986573447.5	647496590.6	775320906.7	805133721.8
ATP6V1B2	16604312.44	16882844.25	22114786.37	24009125.75	26331656.21	24887984.4
RPL23	25509471.97	36010186.01	34053605.73	44099500.72	62100759.76	56085916.85
PLOD3	17673345.98	13105915.54	21615699.61	24602526.77	25449488.83	25191325.85
DFFA	490675.8163	464960.7172	3326189.183	3922113.391	4277279.972	4283214.815
SLK	8787929.57	8669351.145	7239103.587	4472032.129	5103326.813	4834793.246
KIF5B	23682584.61	14918410.54	28963110.61	33121056.77	35882279.97	36127657.69
EIF3L	57700424.23	43276688.67	44103479.28	34062761.14	35699566.26	33488052.75
ATP2A2	27376801.93	32936804.88	25140294.7	18959740.68	21430632.75	20049976.12
HGH1	573884.7709	818805.7406	1030337.214	1735897.25	1867466.974	1793296.531
CNTNAP1	573638.2245	173830.1074	661520.3967	945517.4688	1093139.053	1081167.614
PCYOX1	15662960.74	9547370.369	11911461.7	18134754.01	20725345.7	18989496.27
DDX19B	4415249.314	6469772.617	5397287.432	7132905.469	7527800.413	7415066.86
NSDHL	6827709.098	6422083.536	8218282.185	4818361	5629532.464	5109684.633
LAMTOR2	810795.5586	348018.8308	1965305.769	2485722.852	2755218.503	2750665.585
PYCR2	1233725.896	3107630.916	1179541.151	3621078.563	3601332.442	3500236.788
MAGED2	2585837.751	3638614.232	6905172.9	7660003.605	10596101.91	9949076.396
PLOD1	34355555.84	10019726.29	16969174.32	43981786.19	39444541.74	40391679.95
TIGAR	3474190.337	1607638.917	2550297.205	4273849.875	4861083.053	4104097.87
CCT7	96147486.53	86111894.18	66124914.47	54213926.34	57921241.05	56503702.53
CAPNS1	26999906.32	18038621.37	41938986.96	51061864.42	54580519.63	58357063.33
NASP	7327786.687	2128102.813	7328271.002	10143574.86	10312768.13	10410972.33
YTHDF2	784374.7765	558971.8703	530914.5324	322025.9688	457387.9975	369457.2645
IGF2R	4171552.339	3337213.006	3550203.007	2535511.063	2266882.858	2301290.137
WDR36	427033.6992	163655.6731	493819.606	1118546.883	937243.6062	934707.4447
PFDN6	11201349.19	7624331.561	7919872.685	2274467.508	2354312.541	2631492.741
S100A13	77113309.22	83715336.92	80334585.78	56073356.76	57278772.31	56419005.84
NOSIP	303479.8134	253689.5639	275532.2548	154734.9688	131458.1687	138838.067
TUBB2A	15105439.25	10272940.59	13115727.17	6371633.961	3606746.046	6273944.273
TP53I3	329116.5631	2450989.631	4943793.085	7686675.219	5718695.492	7067191.556
EGFR	646144.8786	94278.63522	820246.1745	1191057.404	1053503.004	1271994.294
MSH6	1200740.851	1451886.508	792628.9884	555956.2656	441912.4953	504204.2235
PRCP	1115928.708	4030673.077	7511541.626	9529839.063	9445926.82	8558527.723
APEX1	10482934.87	6916462.577	8041298.526	13594877.42	11687907.54	12658686.21
RBM4	10007021.42	3477450.81	6129652.024	11077956.64	12529921.46	11856181.98
MEMO1	3325205.814	2433124.832	5824942.366	7314619.25	7061241.798	6404696.765
SCP2	9138115.115	19278244.4	19982179.59	28637483.49	26532228.83	33085947.59
TRIR	2482414.108	1889764.607	3647581.972	926510.4375	1081396.679	1421983.752
BSDC1	130734.0571	165531.8546	129135.895	120549.1328	101484.6884	83815.583
TMEM119	1942608.066	5107981.857	2176267.803	424494.3125	500508.1962	579372.6946
APPL2	14228175.63	11876443.89	13507424.46	16096555.73	15668647.81	15416114.72
RALY	6688900.235	13780416.61	7687058.545	4332942.836	3456372.97	3700130.2
WASHC2A	2598892.212	465758.9053	1753704.218	4014240.961	4165971.325	3801152.895
CTSL	11453540.12	8385980.388	7719162.152	13896444.34	13838554.97	12342037.11
ARF6	5378473.145	3843271.869	5193706.702	6457340.641	9720782.923	8472810.321
RTF2	644661.031	258472.805	377203.9138	138622.7121	110664.9017	132210.0222
CYTH3	411828.415	1365257.558	990787.1929	197264.8125	214886.9307	249402.1443
BPNT1	3802245.237	3331857.008	4628292.723	7319840.594	5790108.588	5810287.62
PFAS	871196.9697	534383.322	267457.3426	1393991.371	1161772.758	1962181.429
CHMP1A	3696177.473	2873891.764	2713035.681	3909636.031	5716518.74	4740325.048
EPS8L2	3914359.705	2057351.484	2495504.659	4718066.766	4935384.429	5178559.981
DHRS7	313338.8392	234967.4601	511260.8686	2520690.871	2901652.129	2256718.535
RRAS	4613816.369	11218084.39	10055594.2	12131097.41	15045210.67	14540267.07
EEF1E1	5024297.008	5290312.406	5989385.046	7220554.906	6579599.524	7089388.567
MON2	918342.3523	502710.5218	1035512.699	176210.3906	372365.3893	365415.3741
PDGFRA	700363.8881	410459.49	305945.107	196958.7656	175981.9379	194129.7352
PREP	6167937.85	2447920.571	5410264.34	8487076.297	8060064.502	8732008.604
MKRN2	2480729.02	2238200.38	733436.8465	470936.0859	557866.4247	572551.371
LSM4	4125995.862	4794165.431	844769.9874	487690.0625	428430.3904	357818.9422
GSN	32704000.64	5737537.775	4132563.979	41327839.31	40738076.81	40821177.25
ITGA2	7937275.517	5890022.859	6783797.618	8831401.625	10500393.6	8607064.308
NDRG3	134900.1047	1349875.828	874528.1136	1380478.438	1971380.259	2234824.761
