Gene	Eto_1	Eto_2	Eto_3	FTY_1	FTY_2	FTY_3
APOA1	60817879.99	104737627.7	92566179.77	16876156.92	34972553.94	33129155.23
PRCP	12379233.99	12368161.73	11379929.66	1115928.708	4030673.077	7511541.626
MOXD1	15460389.43	14598097.89	12424871.44	5700646.653	6366795.691	8997844.533
IGF2R	2166284.186	1534095.966	1327410.8	4171552.339	3337213.006	3550203.007
ACTA2	71979809.11	71354371.16	40611262.45	15547364.16	20852156.74	20129335.84
GNAQ	3283012.461	3418325.924	3012044.733	914638.6082	1702353.302	2250927.576
C11orf54	1195919.727	1332167.893	1331349.383	284768.5251	691557.726	534402.8618
CAPNS1	54630198.05	71366288.19	74403754.37	26999906.32	18038621.37	41938986.96
YWHAQ	67244441.44	83158108.21	74162572.24	37026579.89	30029466.98	40958087.59
AGT	1746717.705	2855310.348	2968670.339	1031614.359	777806.0918	827935.2212
LSM2	4149722.45	2769172.157	3212725.085	1630832.122	1637050.241	760577.1365
TUBA1C	577423611.6	510552121.9	606505188.5	1528754566	1265775188	986573447.5
USP7	1122472.716	1284522.804	1374448.268	4717426.689	2911870.419	3344611.501
ATP5PO	1799810.073	1921143.041	2829133.138	21019087.47	14553116.86	10146455.16
POSTN	1079313.529	1886973.769	1724682.426	472835.7631	604041.9718	615613.5448
MLEC	6828752.684	7034823.804	4971354.64	2453716.441	2141581.651	3302578.593
NDUFB5	1490541.06	1153023.897	1151709.932	2273032.461	2322759.42	2024657.473
DIAPH1	4903575.066	5840486.691	5717626.763	7261157.855	7824930.172	8245201.628
RPL23	54059335.43	65739835.8	64109084.18	25509471.97	36010186.01	34053605.73
EIF4H	5830138.173	3103155.153	4725320.053	14573565.26	8923533.945	11317984.4
NSDHL	4111054.816	4740883.821	4488980.258	6827709.098	6422083.536	8218282.185
TAGLN2	109695888.7	90243316.91	98651319.51	123187895.7	123312332.1	125809589.9
GATD3B	11779297.14	8601203.635	9373705.994	4422208.145	5405187.343	6769405.949
SRP14	8910200.537	8184151.084	8646494.345	21786249.49	14140685.68	20197827.29
AKR1A1	17659887.06	20381109.3	13886012.14	7457020.212	5047757.183	10185732.57
ORM1	21743397.71	15526723.05	13255982.36	7704052.014	7164296.923	8047826.378
FARP1	6689589.72	8470196.349	7099082.053	4486807.007	5388223.269	3854103.539
SGCB	3219090.497	4275836.419	2726516.386	13015782.53	14850414.62	25331809.87
PPP6R1	336791.6557	167358.8732	262068.0164	801079.055	1592892.447	1677936.241
CRK	26744790.08	39019953.75	33453543.01	5677824.259	5328516.364	21178144.77
SDF4	28561669.22	34275074.84	37090793.98	19039290.38	22417019.9	24305995.72
NCAPG	433577.9392	426440.8433	417070.7404	1692485.498	1299563.525	2329168.662
MVP	191250672.6	198987173.5	198233720.2	167127399.5	117491456.9	147612499.2
SRGAP1	4720283.021	4628407.57	3225976.418	2550377.847	266801.6723	754989.1868
ATP2A2	18147897.87	17252082.81	19208631.68	27376801.93	32936804.88	25140294.7
NPEPPS	36065099.18	39431888.65	40671595.99	29268979.08	25700805.4	32031874.74
EPG5	212034.5839	156633.7447	170821.7843	689423.0828	686137.7421	1285179.88
RPLP0	30051140.41	23546170.43	32022648.26	69550740.27	55129219.81	67435684.05
AK1	15527587.66	17693766.35	17884454.91	10366356.45	3892621.563	10671865.03
ATP6V1D	2731156.625	2377933.764	3360458.924	1571939.076	1695931.505	1108930.689
FRMD6	1099872.451	760697.3493	1070349.79	327213.2307	286431.8894	407380.701
HMOX1	3659066.716	4564536.955	4036064.782	5637587.187	6599287.147	5695434.98
SH3GLB1	5449957.779	5799879.349	5892287.931	4272616.547	3171651.795	3299207.223
RRAS	16078932.75	16012219.61	16562253.06	4613816.369	11218084.39	10055594.2
VPS33B	103936.2588	482270.8946	114258.2123	1761928.111	778639.7656	1626948.97
BPHL	1391839.915	1326572.851	1517904.765	929141.2555	1159056.533	759793.6216
RALY	2295787.573	1608234.941	1415183.318	6688900.235	13780416.61	7687058.545
FAM50A	2509638.226	1868601.329	1437783.18	4027289.643	6768737.535	6012425.026
EPHX1	7303174.616	7001258.333	7500574.185	1464040.142	3943862.07	3644094.404
GSTK1	10568012.66	13085864.12	12761282.76	7275039.132	9557215.003	6002404.694
TCOF1	479725.0869	654685.2001	666717.117	1279590.817	2411420.584	2345189.693
PRPF4B	2281400.626	1844240.593	1799279.097	862816.2195	1427136.887	1067363.4
NUP153	834008.2657	1032996.011	964986.1985	706215.3023	332127.7334	300154.5539
SPTBN1	147405527.6	142139571.9	134288275.8	120123344.2	122867041.7	127116716.7
ITGA1	7155753.74	6387092.704	7643777.783	2590235.269	4851163.126	501450.1783
TMCO1	1402904.779	717304.7874	863599.5234	2640177.607	3153968.279	1894100.793
CTNND1	16638332.51	14426018.01	13757193.67	19092253.61	26661582.01	22977141.65
PRKCSH	39956644.76	55552835.17	46543395.13	21183231.19	12351051.38	32146472.49
ATXN2L	4257723.907	2249005.618	3005479.685	5231592.516	7995071.009	6162935.298
IDI1	75976.73049	25254.90662	28098.03872	572078.3288	415392.4666	371267.437
SERPINA3-1	5100692.17	4720769.337	4164663.025	2398706.901	241993.6122	1864728.43
SWAP70	9839687.107	11298754.25	11648398.72	7691476.408	8423842.78	8199339.817
CDC42BPB	5195996.486	8159201.274	8524877.202	2529317.63	2591514.834	4604608.549
PLOD2	25883800.83	30379483.27	30419025.28	21054522.21	13016170.08	20502668.51
OSBPL8	14940712.36	14212785.85	11531596.18	9172439.321	1145352.779	5276344.507
SLC2A14	1114156.819	275218.4275	435833.0054	2294895.254	2345168.391	1582869.291
ZC3H15	5837858.502	5875478.003	7891353.14	3280927.343	4217722.347	4445413.55
EPS8L2	4902499.024	5568822.748	6614800.577	3914359.705	2057351.484	2495504.659
RETSAT	922905.2922	1631065.754	941054.0173	3081215.542	2720225.059	1850487.416
EIF3L	30130136.07	32189779.44	35300997.59	57700424.23	43276688.67	44103479.28
SNRPB2	2455340.257	1930509.636	2271387.778	3056055.27	4767169.947	3796161.501
PPP3CA	3587436.853	3946390.019	4738843.619	2264943.78	2174983.028	3162653.375
LAMTOR2	2291053.902	3325669.936	3169794.611	810795.5586	348018.8308	1965305.769
POLR2A	52704.13634	26040.36515	17780.81154	993921.0598	418980.5265	470368.3685
ANXA2	2715759727	3425983389	3166639258	2558772110	2160935989	1976404782
ARCN1	39151357.54	41748939.92	41218014.53	27303007.77	11527644.26	28339558.72
RAB34	3679385.783	4376856.793	4905907.848	1892713.566	1980836.514	2810046.292
TMBIM1	939919.4243	1332158.645	1002272.353	1959504.675	2831673.235	2509547.075
ACO2	25355188.62	30910432.98	29235907.08	21700972.39	22366720.11	19126262
SLC25A24	19074291.05	22762296.69	21208743.09	15814221.61	6666462.893	11770969.36
PLOD1	46230090.77	47439971.56	40404794.48	34355555.84	10019726.29	16969174.32
SNX6	37690786.13	30096006.95	33742175.03	18991373.1	24081436.51	27411248.71
ARFIP2	786947.6383	1160028.346	1197455.035	2598841.037	1838989.917	1800445.404
POTEI	313781.1773	231614.8226	310719.1087	958716.8021	1104557.831	645713.1914
FAHD2A	1520954.579	1436139.614	2018574.776	2779511.941	4488680.453	3082310.563
SNX12	7102752.931	6032765.743	6318472.984	2871457.897	4826885.518	2430081.191
SLC25A1	10070567.99	8456375.665	8291594.49	4654221.887	6905016.026	4135311.984
FLNA	2638653238	2835520028	2820678873	2111028311	2516055551	2398151058
RBM4	11474312.53	14285163.62	12977703.74	10007021.42	3477450.81	6129652.024
RPL12	72772383.21	82070681.05	77393908.75	113527610.2	113256368.7	99691247.58
RASA1	1771405.118	1472660.055	1583327.851	2395198.554	2386976.478	2821544.452
RFTN1	7504051.612	9079205.09	8165065.159	4806482.036	2779127.796	6021040.971
PDXK	1867542.836	966792.3178	1120991.991	3801820.694	2623812.991	2575139.073
SPTAN1	209069350.5	223244470	236409368	163497719	159782165.9	201495972.2
ITGA5	2270451.016	534725.6104	923232.5667	4262132.568	3097584.15	4358704.599
TRIM28	15377772.97	14329115.94	18051880.35	32567502.39	43188662.97	27739392.29
DNAJB1	1263943.228	2751231.021	2667769.664	5095074.621	6048046.58	3533264.517
NOC3L	2501767.247	3220901.425	3443539.199	1030870.29	1504942.458	2311034.419
SLK	2953785.961	5198094.306	5726557.616	8787929.57	8669351.145	7239103.587
TGFBI	23726016.69	23303560.99	26841209.87	38919263.35	40231395.13	43298341.37
FH	37858811.7	36078310.39	27810916.33	15124301.9	20651400.4	23566896.45
AAMDC	1528217.48	2144548.289	1805697.363	645340.2885	897668.6675	815790.1996
COPS5	6510393.36	8487541.376	5414967.665	3481339.12	3360157.982	3619658.392
NOP58	11646333.85	13268251.88	11678491.09	13743068.33	14905574.51	15153331.23
FABP5	5217839.786	6082645.458	4970065.045	9392229.281	12898203.26	8642408.903
SRSF10	825501.6912	199510.4293	244624.2454	2333320.204	2222146	1941095.637
SERPINA5	914604.6057	1076507.913	1126216.179	808983.7389	544770.3323	401704.654
EIF4A2	10116450.36	9266937.762	8520741.942	6047024.787	2664831.068	6099443.258
SRSF5	1195749.034	911423.7865	1094970.548	4451012.043	2644084.081	2781965.057
MYH11	2952797.096	1903219.867	2770052.58	643706.3439	1228426.182	994765.902
COX7C	3821093.991	4213294.973	4416315.676	9441861.26	8502517.172	6809861.904
ANXA6	350867615.7	327367204.6	321706457.8	411213382.9	383036567.6	398906062.8
IPO7	3210320.051	808957.2386	1543222.055	4818652.812	4079910.653	6069983.089
RPL30	63356778.06	61358640.52	48822016.36	32564366.39	44449845.98	37423288.06
ACACA	11068910.81	15876324.42	13334149.76	10013929.85	5616523.895	6536726.858
LASP1	139301566.9	155560860.2	152116913.3	124000815.1	88912327.73	105236517.1
MYO1E	11742534.7	15772673.98	15746192.2	11242889.72	4166730.395	4254121.588
SLIRP	4484325.785	2826332.955	3331049.828	5330903.017	8541483.494	8661041.078
TRIR	556788.5201	1061598.141	1181449.113	2482414.108	1889764.607	3647581.972
ABCD3	2935914.743	3065238.069	3429321.695	1596230.771	701911.4937	1714421.374
SERPIND1	9755358.93	7341881.784	9267243.072	6180520.807	4273822.284	6396863.451
ACTR3	55763123.2	37533920.74	38808686.38	14557098.2	16002461.08	25589852.53
CD63	1614549.636	1766793.252	1549809.927	3328124.256	5437471.418	6498536.877
VAC14	198400.5606	84973.59264	179642.3111	1611414.16	795870.8053	735836.2023
AARS1	60964536.02	59836198	67818929.07	88854080.85	73062006.75	82760548.3
LRPAP1	53876385.65	54626328.24	49578558.22	35701235.86	38539636.07	47692384.18
NOSIP	132306.4897	118257.2821	142795.1817	303479.8134	253689.5639	275532.2548
GSTO1	31406208.66	30215033.31	40152952.04	49446163.84	83684452.57	59056410.93
SRPRA	18064797.42	21221880.29	19464543.43	15114661.1	5282344.204	11272932.07
SORBS3	17420607	16071157.66	18393146.93	2296641.96	6370562.249	13993562.5
OGDH	17408657.08	22324432.65	19338321.08	16604697.77	9633866.908	10443983.94
APPL2	14750204.22	16229368.5	17072910.04	14228175.63	11876443.89	13507424.46
LRRC47	8121673.548	8168104.012	7116566.054	5233374.106	5591676.615	6244099.327
BPNT1	5804876.641	6791661.869	7442546.426	3802245.237	3331857.008	4628292.723
OCC1	175232.8712	143503.9128	98895.73547	660276.867	737944.3511	711069.9222
TPM1	837973510.1	1127772818	1072756473	598627706	834379874.7	591049755
VDAC3	16559886.57	11564953.8	6669273.696	5567329.835	1302516.765	1934040.171
KIF2A	433323.6535	515312.1241	374306.4657	1553218.486	816033.172	1087237.577
RPL34	31847822.91	12965080.14	15089920.14	35968435.36	38889304.79	41293894.08
RANBP1	10384803.11	6834043.911	9280956.176	12730269.44	26271446.02	27095172.55
UQCRC1	22197254.8	26378763.63	20919359.91	18719208.55	15357623.68	16161118.77
ABHD10	3479171.498	3067243.613	3983564.75	1697288.047	1365618.062	1979091.426
STK3	1083706.631	1498207.216	1373199.487	606990.245	981992.977	471322.8454
PSMD2	25001814.79	19777953.17	21896650.16	29926766.11	35635824	32759997.57
TMEM119	374229.6164	310069.2153	213919.5987	1942608.066	5107981.857	2176267.803
TSN	12474432.37	15281959.83	12237757.91	3726716.863	1444074.56	10337725.12
GET3	8782077.635	8584285.647	9453200.338	4825445.453	6281243.122	7708688.16
LAMTOR1	4639709.191	3481893.665	3560125.139	2065525.921	1615798.13	2790545.108
FUBP1	11742227.31	19421299.04	19511215.13	26149650.36	25272509	24754568.95
OPA1	11967195.76	16405021.7	17209362.71	10886397.35	9411394.447	9307180.694
MAGED2	7967537.401	10689269.45	9181218.447	2585837.751	3638614.232	6905172.9
NNT	7097520.767	10121581.72	10451516.29	4601205.141	3291724.196	7018582.911
GPC4	693731.958	469828.8725	357344.2315	252400.079	267314.6515	86821.03507
CHP1	3268728.693	2566415.931	2298020.871	3879907.217	7138966.222	5171819.081
DHX15	3772915.455	2752321.965	3082986.111	11614775.66	7203809	7173685.745
WNK1	1136418.057	1713979.306	1790305.811	2200391.708	3386922.905	3424275.093
DECR1	19525745.53	25588165.17	22515528.58	19187977.64	12059654.85	13014018.03
CHMP2A	7300281.392	8100239.816	7438085.667	6421802.8	3449103.927	5271226.575
KIF5B	32227803.78	33690472.46	36574437.61	23682584.61	14918410.54	28963110.61
TNPO3	2686760.082	2907787.596	2961315.614	3902653.61	3771944.097	3531480.902
P3H3	4089786.944	3322474.95	2786111.16	2063546.121	288827.1795	1707697.674
PDCD4	2119926.924	3349757.617	3083997.327	1534629.893	970744.4043	965044.5018
MON2	239025.2506	219430.2778	302271.4986	918342.3523	502710.5218	1035512.699
TNPO1	7888048.45	7754753.407	9305102.132	11931941.15	11505850.3	13393463.47
ACADVL	47320430.4	56544540.31	51643557.64	45885260.2	25971352.46	31579793.62
FNDC3B	1313506.46	1371303.323	1006493.243	842372.5323	337119.7688	412035.6104
XRCC6	36953347.55	39639114.77	51105058.78	57076233.89	51817886.94	57020057.37
LMNA	1309410681	1438117132	1517280569	1771874139	1556204197	1687801082
NEDD8	1422898.098	1637526.436	2634400.532	881556.5019	970503.972	744010.0861
NTPCR	2293536.188	2060164.625	2076328.549	446547.1413	672939.1613	1854245.945
ATP6V1B2	26172632.16	22262986.83	24649346.28	16604312.44	16882844.25	22114786.37
AIMP1	6867016.768	17523469.06	14907575.97	5062672.572	3227497.395	5777112.252
AHSA1	19715674.66	21199824.86	21841204.54	11391875.37	10468861.99	18961418.32
ACOT7	582828.1503	623903.5335	509452.9687	810945.7173	1430368.544	1042057.068
PQBP1	525741.2428	911357.9625	820047.2145	1179870.086	1244040.458	1883196.422
SUPT16H	3527201.939	4091410.298	4401479.617	2685308.772	1752635.99	3018258.451
HIGD1A	17007.68985	6589.240276	28277.12408	75736.0182	263744.9111	346576.0703
GSN	165606950.9	189865250.2	200123857.6	154388473.8	137970051.6	85468832.67
ATP5F1B	249202440	321787892.5	334207199.3	183528668.4	225873980.1	239325255.6
CTSL	11543877.41	14242020.07	14553026.09	11453540.12	8385980.388	7719162.152
ALDH1B1	10803722.7	14147140.82	10258722.51	7028327.264	8311102.926	7682416.988
SUB1	26175460.09	24841914.36	17794622.15	37863632.13	30024024.84	30514219.36
CAP2	11607229.9	13695490.45	13075250.11	9097633.672	5652568.955	10852441.91
DNPEP	1059047.607	868471.9619	1334146.285	4335820.136	1975689.551	2541016.871
PML	4119139.894	4305072.872	3605119.629	1681557.447	987242.0739	3256148.42
NSFL1C	4445066.401	4040118.844	3331567.471	6097049.127	4655206.312	6476396.727
YES1	20930634.76	9645568.841	9967791.998	606776.042	3040395.937	3515875.739
COX7A2	9761322.115	5071756.069	6005292.699	4300360.489	1103465.601	353885.7106
SSRP1	8548671.498	8130258.18	11292407.57	18140627.99	12000220.26	20819109.77
MCCC2	414772.622	162255.5396	487594.4787	957483.8371	725824.3151	723721.4016
ANKFY1	2594169.699	2403909.889	2818592.054	2011809.96	701067.6741	1649705.899
PSMD14	19506500.15	14799821.79	18373908.9	25679914.7	21671098.03	21435909.14
UBE4B	795765.028	1675754.794	1098236.254	310283.2605	514102.3966	370254.9098
SEC61A1	5653528.459	5936663.878	7288269.898	10618646.25	9496700.257	12533483.43
FN1	668396300.4	534070760.1	553155403.6	670342640.1	712766778.7	744619721.8
RCC1	2285352.422	1651341.923	1919695.325	2644429.075	6127996.945	5290236.682
DCPS	1178151.294	909741.3591	668909.8222	2251739.406	2767486.96	1450389.794
ENDOD1	746676.6756	384014.4975	781628.6627	1868036.588	1135457.086	2520697.179
MYO1B	31902946.89	36047000.73	34352160.87	28389333.67	17125294.2	26781783.85
EEF2	452060872.1	527324519.5	538503767.7	639212437.2	709557416.9	565356432.9
GNS	6332415.686	6880286.024	8187272.769	2129909.499	1880638.665	5549759.517
CLIP1	6326416.851	7962100.805	7722370.95	1943826.856	5666212.237	4867862.093
TXNDC5	68388420	61505132.45	58308264.17	50419831.5	38433432.56	43245304.25
PBDC1	4672407.784	7473672.362	6271445.321	4842409.236	124516.3502	1911530.871
COMMD2	1027891.613	1217181.723	1192009.712	2934016.608	1972860.81	2113738.058
ACTA1	155387672.7	250358227.6	196834834.3	126417599.1	61091832.62	90663084.84
NDRG3	2147203.838	1766386.952	1786523.061	134900.1047	1349875.828	874528.1136
FEN1	1339505.417	736457.8773	1221611.444	2965196.462	2047280.66	4844032.445
SSBP1	24309335.08	23084770.94	27491021.46	20572598.93	19715743.71	21964877.19
SRPK1	797752.4406	797397.5046	744905.0012	1187513.218	2634697.221	1602134.697
WDR36	1197455.793	583331.1073	1005383.898	427033.6992	163655.6731	493819.606
STXBP3	2952796.827	2891710.487	3411230.269	2415720.426	449213.838	1668315.905
NDUFA10	642844.248	1701646.123	1668956.422	186579.8779	370076.0978	614043.7965
SERPINF2	11778906.55	13558853.27	15354003.79	3952460.576	10043213.13	10094396.31
ATP5PD	19589763.62	18756508.39	18470535.3	20538845.19	29440247.3	25994447.88
PSAT1	16839059.54	23923444.41	20392399.99	13409879.89	15675291.13	12395526.56
UTP3	316246.6106	462002.138	433785.9609	580452.5745	843936.8744	842127.3929
IGF2BP2	10438594.04	9166009.238	8813956.262	8094373.498	5980636.309	8117558.974
