Gene_name	Eto_1	Eto_2	Eto_3	FTY_Eto_1	FTY_Eto_2	FTY_Eto_3
GPC4	693731.958	469828.8725	357344.2315	215422.2422	179889.4577	193041.3897
SERPIND1	9755358.93	7341881.784	9267243.072	3605897.586	3752613.29	3548435.044
STK3	1083706.631	1498207.216	1373199.487	387253.0156	809923.1156	531412.7066
ITGA11	3601536.788	3374488.992	1481019.114	1275678.16	1182110.502	993708.2738
FGF2	4746342.735	6094408.073	3824090.246	2106890.5	2091556.51	2135883.19
POSTN	1079313.529	1886973.769	1724682.426	822675.4141	578370.7544	639397.0448
FAP	10521240.18	13163669.48	12560340.3	5499488.395	5551505.168	5134947.196
LUM	451138.4711	505006.5073	503000.1817	236820.2188	220375.1554	207079.3621
RRAGC	3598030.405	2967980.087	2389053.283	971651.8398	1948649.944	1498107.424
MOXD1	15460389.43	14598097.89	12424871.44	7455093.406	6782969.15	7002587.598
PRPF4B	2281400.626	1844240.593	1799279.097	957359.1875	1021327.761	981365.2828
ACACA	11068910.81	15876324.42	13334149.76	7275355.57	6379637.012	6471436.876
SERPINF2	11778906.55	13558853.27	15354003.79	6282642.938	8366126.688	6213111.646
STAT1	63848449.46	75647244.26	71189091.01	36398013.89	37073305.83	34808305.01
FARP1	6689589.72	8470196.349	7099082.053	3782738.508	3519327.186	4551853.748
MYO1E	11742534.7	15772673.98	15746192.2	7264969.609	8796813.007	7037739.579
ATP6V1D	2731156.625	2377933.764	3360458.924	1456153.75	1433643.706	1630911.404
NF2	1653172.675	1757612.132	1572268.266	922561.0938	980860.1872	835368.9635
CD99L2	2863806.28	3950262.693	4298992.367	1513063.125	2397048.126	2286120.892
PLOD2	25883800.83	30379483.27	30419025.28	17233412.6	14029515.96	17008888.9
RAB13	1970262.029	2050578.953	2306796.476	815029.625	1371129.823	1518977.392
SLC25A1	10070567.99	8456375.665	8291594.49	6062375.5	5580294.431	3930235.895
DLST	18592256.57	22679708.47	19004474.33	8728433.063	13893763.4	12499562.07
ASS1	10417720.66	13658897.09	11057643.49	6897134.648	6261245.297	6926409.113
ARF6	12968410.67	15594516.64	13657217.18	6457340.641	9720782.923	8472810.321
NEXN	17288333.02	16920823.64	15394263.8	9687299.012	9683569.659	9468152.292
PLCG1	2758444.445	3291664.014	3304285.073	1865899.289	1856554.68	1784977.201
GSN	56215879.23	77575931.55	71606425.97	41327839.31	40738076.81	40821177.25
RPL30	63356778.06	61358640.52	48822016.36	34509949.56	41609650.94	29878679.05
OGDH	17408657.08	22324432.65	19338321.08	11310833.65	11926558.98	13202504.45
SRM	19388907.19	21112128.29	16707476.45	11997133.38	11773827.86	12053669.78
LDHA	1262102937	1404005834	1333025433	835608435.9	833118566.7	867685441.8
RAI14	29504741.1	37505376.42	35804733.76	20575605.52	22186802.84	22276328.05
ACADVL	47320430.4	56544540.31	51643557.64	34052228.23	33711710.53	32252769.35
SH2D4A	2045913.481	2566172.19	2567327.727	1614470.195	1519411.8	1480767.519
ITSN1	5651935.355	7797703.391	6704939.46	4694253.172	4338669.681	4055209.12
MXRA7	9785308.24	12415732.22	12496499.21	6141466.063	8012770.469	8737593.278
GJA1	7577651.597	8410357.059	9137184.639	5575447.594	5545692.364	5398274.261
ARPC4	39903048.56	35679074.79	31734513.47	23484304.81	29228164.59	20764867.94
ITGAV	34623523.36	39281416.34	36470298.55	25313663.53	25578839.78	25519280.58
PON2	5800299.805	7361495.982	7096998.124	4642817.469	4042694.259	5389499.551
PSMD10	9277550.433	9340106.152	8791631.04	4707415.25	6958691.708	7782049.393
NIPSNAP1	7018556.544	8532340.47	9163528.223	5679607.625	5318266.206	6115311.298
CALD1	309113541.1	309659989.6	315291816	222467082.7	217691062.5	220534311
TIGAR	5513528.564	6502009.29	6715954.251	4273849.875	4861083.053	4104097.87
CSRP2	15707665.02	17800509.4	19314858.42	12899659.88	12508732.14	12015670.8
GSTK1	10568012.66	13085864.12	12761282.76	8795872.875	8829422.629	8950770.422
BYSL	6127537.436	7151165.72	5000275.527	4705167.938	4806785.231	3843273.034
CTSD	31987859.34	34961957.01	40671300.18	23893737.36	26562695.15	28751992.83
ARPC2	135275564.5	174734217.6	161140095.6	119094116.3	126454849.5	108715149.1
PRPS1	19588307.05	25262257.08	25497491.98	18574645.5	16950536.06	17355008.72
AHCYL1	4740981.378	5981542.206	5418674.871	4456896.813	3900653.436	4060403.448
MAP1A	46865302.07	56175515.84	58458689.79	39410705.58	40767409.16	44033943.87
ADA	2043819.721	2275705.603	2597614.439	1814437.031	1811012.428	1751417.768
P4HB	920375856.2	1018058010	1017433015	791755211.1	753035775.9	783539219.4
LRPAP1	53876385.65	54626328.24	49578558.22	45718047.84	41341328.25	41409791.54
FKBP9	37213359.58	38047673.34	42505039.8	28950003.22	34038354.56	33025561.17
NPEPPS	36065099.18	39431888.65	40671595.99	29267577.36	34823746.59	31348136.38
SPTAN1	209069350.5	223244470	236409368	186319738.6	191935473.1	177265534.8
FLNA	2638653238	2835520028	2820678873	2342378920	2401933877	2367700401
P3H1	57088430.67	59951037.37	59984555.21	51249650.34	52770022.98	51500353.73
DYNC1I2	13205862.56	11410527.11	12217209.37	14651240.3	15248949.13	15169482.57
NOP58	11646333.85	13268251.88	11678491.09	15044018.48	14837759.81	15717524.85
XRCC6	36953347.55	39639114.77	51105058.78	53243243.73	52540300.36	56907382.95
EIF3A	32847925.76	36839921.56	39067081.33	47081565.21	45846439.64	46671215.42
EEF1D	94485603.23	106706278.5	103875429.6	137546004.7	124222796.3	132612489.6
SET	26349428.28	31081716.1	32009207.75	39863931.3	40244171.69	35759674.2
AARS1	60964536.02	59836198	67818929.07	82508021.94	79024468.66	83792799.79
RPS4X	178130030.7	168450832.8	172405112.5	239767212.1	231864868.8	206673852.7
EEF1E1	4312386.119	5642832.912	5938745.821	7220554.906	6579599.524	7089388.567
MATR3	31215001.25	23559781.55	28964140.83	36979166.02	37622208.1	37424786.04
HNRNPM	56149839.3	54343990.6	55541085.78	76469558.98	72572449.3	75515505.29
TAGLN2	109695888.7	90243316.91	98651319.51	138281168.7	129952724.9	136768239.5
TPM4	137387902.6	127291270.3	135671282.6	182828415.5	183083315.1	178721213.4
HNRNPL	26892998.89	29984347.72	30622838.88	44286057.73	38475925.93	40408133.44
ANXA6	350867615.7	327367204.6	321706457.8	478719389.4	443005960.5	487593569.7
EIF3J	3723917.525	4503267.113	3879680.761	5655464.375	5805946.195	5742469.71
NSFL1C	4445066.401	4040118.844	3331567.471	5727548.344	5424375.238	5707670.998
ILF3	51186950.49	53448183.7	53991329.82	77235987.43	77897265.94	73739673.42
DPP9	9372523.958	6861150.429	8780952.856	12736316.3	11762745.63	11621007.48
FRMD6	1099872.451	760697.3493	1070349.79	1218758.563	1533703.075	1502057.811
ACTR3	55763123.2	37533920.74	38808686.38	69478505.62	56408855.74	67661465.95
DTYMK	24976482.53	18557876.9	20566239.4	31681731.53	32517519.09	30404066.37
RPN2	26742531.8	20595455.59	21242292.83	35318053.95	35883353.07	34138826.34
TRMT10C	1490268.398	1902830.985	2163438.379	2959333.563	3092608.655	2557821.484
NOC4L	624846.3522	691630.2429	584240.875	1154751.031	1028829.288	812621.8544
CAD	3513829.103	3600457.127	3054794.9	5319547.961	5107064.533	5559087.9
BSDC1	64345.75302	67082.75891	60376.31013	120549.1328	101484.6884	83815.583
COPB1	18492748.6	16273163.75	17879731.65	28549287.12	28067820.3	26477072.52
NUMA1	9240024.211	8975777.194	10505942.33	14838805.49	15420681.38	15834873.78
CDC37	10588646.43	9731844.483	9331689.805	16249889.91	17027776.18	14479632.85
NDUFB5	1490541.06	1153023.897	1151709.932	1944312.656	1929269.056	2262639.486
ATL2	91907.83831	72898.79584	64632.38213	133488.3594	110802.5534	139420.5044
PLCB3	1608036.162	1200026.056	1205578.137	2364423	2130273.674	2282759.255
ARL8B	3291293.24	1921677.22	2495790.978	4319318.969	4913530.021	3723457.405
RASA1	1771405.118	1472660.055	1583327.851	2925339.227	2685778.325	2639653.144
MAPK14	2805622.279	1863948.67	1438815.017	3619326.063	3075969.663	3489344.452
MTAP	4875548.627	2989982.626	3678434.919	6628499.766	6159574.61	6853504.936
P3H3	4089786.944	3322474.95	2786111.16	6565242.094	5096708.502	5965283
EEF1G	135244893.2	92147839.51	114661908	211433022.9	185308638.9	194475886.5
MYBBP1A	1616922.556	1815918.157	1692481.174	3549257.016	2368124.706	3157658.254
HACD3	1105119.763	1086688.75	1180252.693	2051659.516	2205803.041	1678485.817
FASN	43572974.56	32239267.46	34611352.61	68657919.47	61461014.93	64367698.27
HEATR1	818085.4278	1073054.957	1157108.998	2139738.727	1547792.198	1755441.349
SFPQ	11729846.13	11611217.57	15671564.25	22790066.92	23392088.8	22922297.56
SNRPB2	2455340.257	1930509.636	2271387.778	3969063.5	4006159.065	3891293.1
TGFBI	23726016.69	23303560.99	26841209.87	52864841.93	35697390.48	45292658.99
SERBP1	34537788.45	31630540.75	33505318.24	62293005.95	58007384.72	59372069.84
SRP14	8910200.537	8184151.084	8646494.345	16209547.56	15228544.99	15653768.98
PRPF31	1768011.248	1149656.07	1456207.838	2393769.359	2891018.406	2827252.468
MSH2	4254164.671	4238985.478	4075291.663	8464980.539	7349077.503	7873173.803
RPS15	12315375.77	10317367.93	16806546.86	25190360.75	23001305.26	25145789.14
FAHD2A	1520954.579	1436139.614	2018574.776	3383045.516	3105979.473	2881480.577
RPLP0	30051140.41	23546170.43	32022648.26	66807821.27	39005831.38	61988428.95
COL6A3	362675368.6	316932097	353749167.5	751558271.6	655552662.7	721466338.5
CNTNAP1	767004.4582	352133.29	461226.0049	945517.4688	1093139.053	1081167.614
PTGES3	17241574.56	16470859.91	20411630.89	38121745.17	38926162.46	35582831.39
SEC13	12247983.52	8163664.514	7458208.514	21404376.21	17374559.08	18311414.79
MCM3	5336621.108	4990660.196	4494139.496	7756885.891	11737152.69	12589099.15
RPL34	31847822.91	12965080.14	15089920.14	41269285.13	35352907.33	41592235.31
YES1	20930634.76	9645568.841	9967791.998	29968218.23	22466419.02	29796967.61
SEC61A1	5653528.459	5936663.878	7288269.898	14561463.5	14494620.03	12253470.68
APEX1	7915080.851	4219412.037	5684228.719	13594877.42	11687907.54	12658686.21
TCEA1	1027538.902	969975.1462	1187808.738	2298116.5	2420320.643	2542419.063
EIF4H	5830138.173	3103155.153	4725320.053	10053487.52	9760196.595	10717770.06
SLIRP	4484325.785	2826332.955	3331049.828	9190614.625	8304335.719	6905850.859
RANBP1	10384803.11	6834043.911	9280956.176	21679375.38	19667608.87	20136439.69
FAM50A	2509638.226	1868601.329	1437783.18	4707635.031	4792333.096	4015239.691
CHCHD6	2406883.182	1021844.358	1339613.224	3838047.563	3211711.255	3890778.56
ACSL4	2175075.958	1892692.937	2087168.025	6297673.359	5469053.395	3841112.433
DES	7345778.133	4535978.367	5290254.65	14463443.06	13438769.61	14202070
CBX5	3295661.873	4274608.727	5203992.964	11117723.63	10504684.07	10225618.37
SF3A2	927604.6013	294752.9356	464573.7048	1535572.766	1070704.464	1303876.652
STX18	392904.9549	252970.6469	324756.1287	679895.7813	880952.4073	977520.0696
HLA-A	16094726.05	5408815.658	4284336.295	19330469.84	17615037.82	20729812.5
DUT	2755316.459	1438078.897	1267007.234	4982582.795	3497265.495	5460450.745
PFAS	790337.3619	341102.4626	597825.912	1393991.371	1161772.758	1962181.429
HMGB1	18534176.7	23795382.75	22595846.99	63510318.64	55457389.41	55847056.95
GALE	409727.188	128601.4161	362576.3947	726235.1328	620963.0736	839721.2834
SEC62	2486658.582	1166177.073	549811.4658	3168665.625	2879113.214	3481352.478
SNRNP70	2124695.95	1979729.722	3181260.811	6721657.188	6699188.666	6442531.489
RPL22L1	3906406.604	5010029.924	4936576.413	13360486.75	11967619.85	13274089.4
HNRNPAB	2177756.243	1215143.548	1907873.848	5571696.813	5472500.939	5560865.814
CD63	1614549.636	1766793.252	1549809.927	6569567.617	5283382.088	4538784.971
JPT1	2352702.551	2391149.452	2232274.549	7684412.375	7704029.271	7645324.431
ABRACL	463489.1462	800614.1393	747632.5284	2137538.375	1970587.149	2561527.145
DNPH1	239836.3244	253545.3619	253378.6936	928287.8438	862539.2554	784626.6624
PSIP1	2437253.616	947852.3691	1090684.708	4711859.719	4651302.304	4916573.472
IPO7	3210320.051	808957.2386	1543222.055	6980933.719	5029177.119	6178493.754
STMN1	7665927.276	6077732.136	10268258.78	26929557.03	31215484.48	32251620.74
HGH1	1196886.78	254326.6839	247661.9722	1735897.25	1867466.974	1793296.531
COL6A2	26384887.34	8545131.75	11144204.7	71534214.16	48572313.29	63533704.82
ORMDL1	22078.42592	27041.88669	37033.34818	123647.2656	157277.1276	124578.4466
PCBP4	58103.77619	24627.10595	15819.55844	134067.5	151709.1519	161878.2129
MYL12A	416055.3598	223018.9691	963897.6377	3333509.322	2171915.355	2572490.275
OCC1	175232.8712	143503.9128	98895.73547	1291363.211	863316.6798	1207347.015
