Gene	CTRL_1	CTRL_2	CTRL_3	Eto_1	Eto_2	Eto_3
CSRP2	5448161.91	6628756.791	5115799.836	15707665.02	17800509.4	19314858.42
CHP1	9196716.288	9157942.917	8781669.662	3268728.693	2566415.931	2298020.871
EDIL3	1054745.501	1129502.242	1354230.345	3773205.147	5225984.799	4885595.994
SEC62	5151075.082	5317675.473	5775811.484	2486658.582	1166177.073	549811.4658
WDR77	3666404.636	3221576.425	3809884.67	463468.0284	305736.526	684118.7509
ELMOD2	2211389.012	2058639.62	2266002.759	3590647.573	3154681.838	3338513.566
MRPL39	428009.1183	347739.7811	515431.8131	1485481.461	1943666.766	1854104.496
PCBP4	201034.965	275368.07	297674.3306	58103.77619	24627.10595	15819.55844
BPHL	505302.4889	520608.6793	460761.9091	1391839.915	1326572.851	1517904.765
ARHGEF12	237024.754	114443.1678	119108.9416	1617106.172	2105663.662	2165534.233
VAMP7	922482.5329	1013578.628	1087966.284	417009.1067	96218.52387	321697.5189
ATL2	198005.8988	214076.0628	226307.601	91907.83831	72898.79584	64632.38213
SULF1	720202.1746	842825.1387	981437.4989	2088522.005	2598557.306	2323172.479
MYH10	14528535.03	17533975.48	15646573.89	26779966.53	30198028.24	32252633.56
ITGAV	15400778.05	17494200.32	19104004.23	34623523.36	39281416.34	36470298.55
CAPG	30022170.83	28293158.83	26894788.25	56961705.39	76041767.83	74175086.21
USP7	4362083.926	4629674.597	5357144.303	1122472.716	1284522.804	1374448.268
EPS8	6966317.612	7689760.067	6848487.177	3664749.326	3226061.305	4471576.66
CDC37	19367462.21	20608629.17	23507431	10588646.43	9731844.483	9331689.805
RRAS	3686771.411	4452243.724	3381271.604	16078932.75	16012219.61	16562253.06
H6PD	26125132.43	31578358.62	43573210	2964699.109	1271089.691	1156604.363
BYSL	2157481.794	2353468.095	1930672.953	6127537.436	7151165.72	5000275.527
LSM2	332808.9715	505377.4144	322473.6979	4149722.45	2769172.157	3212725.085
UBE2K	3352094.001	4194180.294	4842106.638	565557.0759	872841.0604	1280387.798
ABCF3	1744329.499	1800926.626	1170588.806	68910.11765	77496.11697	95533.88495
NDUFA13	1147796.99	789749.5641	1007491.857	3509171.409	4210938.84	4787171.617
PLEKHO2	734354.2723	729385.1718	807487.8601	20370428.04	19229932.79	11392997.21
UCHL5	1676810.353	1129497.049	1540173.172	109075.1565	280317.1099	331922.6657
CYC1	2564960.144	1673603.769	1929238.661	484108.7014	67846.89457	236413.482
EEF2	779961314.3	787372288.2	839134772	452060872.1	527324519.5	538503767.7
LDHA	982846897.5	859792127.8	980959537.8	1262102937	1404005834	1333025433
SDF4	14226854.02	16819537.43	17800008.2	28561669.22	34275074.84	37090793.98
APPL2	10946830.85	10090255.65	10718324.09	14750204.22	16229368.5	17072910.04
APOA1	8034660.924	12062582.77	9045316.097	60817879.99	104737627.7	92566179.77
HIP1	5430900.346	5083469.534	6316536.368	10174774.26	10308354.97	9598838.902
TXNL1	20153636.72	17673730.86	28122425.78	4669544.208	6015112.418	3704786.315
SLC3A2	12775592.47	14168382.86	13681592.46	9626685.252	9477065.494	9021596.085
RPL31	76749933.53	79900315.69	61111330.8	33194253.08	34598067.35	34219811.79
PRCP	836300.6055	1831182.794	2268949.818	12379233.99	12368161.73	11379929.66
PLCB3	2717458.25	2962343.798	3278862.451	1608036.162	1200026.056	1205578.137
GATD3B	3405859.67	3350152.133	3575875.091	11779297.14	8601203.635	9373705.994
JPT1	7907676.99	8075676.544	7335408.653	2352702.551	2391149.452	2232274.549
SRSF5	6014474.381	5287854.441	4353327.899	1195749.034	911423.7865	1094970.548
CDK1	667429.9132	940309.4154	521857.0682	3327.924731	3692.62426	29053.60086
UQCRB	16013282.06	18697944.47	14094433.89	3583660.985	2203048.979	2487659.428
OCC1	1489288.157	1257535.95	949424.3735	175232.8712	143503.9128	98895.73547
TRAPPC3	87277.19847	68893.66707	116747.5725	3120578.038	2972579.22	3740954.25
TUBA1C	1361968612	1490257311	1623605110	577423611.6	510552121.9	606505188.5
FASN	75486865.2	77291272.07	74940596.47	43572974.56	32239267.46	34611352.61
HNRNPL	45432258.85	50385698.24	48216132.07	26892998.89	29984347.72	30622838.88
SNX6	16375361.32	16804911.05	17200068.8	37690786.13	30096006.95	33742175.03
PSMB1	16910229.19	17816494.85	22339088.03	7450017.184	4633476.875	4938736.864
FARP1	3117914.279	2927130.122	3736503.231	6689589.72	8470196.349	7099082.053
SUB1	41129479.33	42704285.97	45754532.89	26175460.09	24841914.36	17794622.15
NCSTN	1838007.655	2049930.872	2571967.209	307235.679	282415.0251	419908.8783
GSTM3	5702337.553	6313018.327	5287757.064	8301879.28	8340600.015	7965382.074
GNAQ	1141806.104	1027894.017	1167387.767	3283012.461	3418325.924	3012044.733
CHMP2A	2467697.924	3126900.508	2187485.538	7300281.392	8100239.816	7438085.667
SERPINF2	1330953.839	1540988.926	1472632.61	11778906.55	13558853.27	15354003.79
CD99L2	628548.2575	1140246.927	772390.524	2863806.28	3950262.693	4298992.367
HACD3	2256424.511	2013735.607	2562159.477	1105119.763	1086688.75	1180252.693
POLR2A	993105.6641	982312.88	1027798.082	52704.13634	26040.36515	17780.81154
VCP	184842908.2	188485066.6	194234281	135623919.6	116473800.8	124137391.4
PDIA4	111537690.1	109329876.9	102265617.5	190143578.5	205097562.8	210636341.2
ARPC2	84352987.12	90929319.61	73367299.68	135275564.5	174734217.6	161140095.6
MAPK3	7451695.113	8974694.526	10188379.79	1078345.901	665781.021	1059920.83
PSMD10	3550853.185	3421386.162	3393996.109	9277550.433	9340106.152	8791631.04
APRT	17339636.56	16623835.12	17524503.13	3186817.038	3520480.471	4448080.436
FGF2	647015.6235	1002216.805	1686031.734	4746342.735	6094408.073	3824090.246
TNC	14196999.57	14871263.62	13876723.82	49715860.16	40436716.01	47910787.74
RPL19	87720406.21	62993688.49	72811836.6	13694490.88	14172710.97	13996170.05
DDX18	673374.1293	640279.6333	696397.5523	2501685.657	1741134.58	2569444.801
GSTK1	5787621.262	6018825.426	4842211.567	10568012.66	13085864.12	12761282.76
CYB5A	491806.8658	336429.3861	360461.4689	4279687.26	5265082.664	5968435.022
CKAP4	261827035.5	269411123.7	259236603.3	428614604.3	368533424	408333734.6
CALU	261999945.4	273294779.3	284493109.5	155238686.1	146556307.4	147273554
MAP1A	27860471.04	29334764.65	28225338.77	46865302.07	56175515.84	58458689.79
PRPS1	35631096.51	34983021.16	34653163.9	19588307.05	25262257.08	25497491.98
ACOT9	8825863.362	9555196.797	8084305.243	17758338.29	19979411.75	21482539.41
DDX21	4555591.254	4940874.867	6277169.101	666147.5699	818047.7898	238109.7484
FKBP1A	19450821.31	22830639.45	25559592.24	4764625.44	4869743.55	4225330.449
MYO1E	1033199.449	1709898.985	1437699.997	11742534.7	15772673.98	15746192.2
TIGAR	2781265.714	3098677.511	2936660.984	5513528.564	6502009.29	6715954.251
ABRACL	2147881.149	2448586.536	2332367.323	463489.1462	800614.1393	747632.5284
ACTA2	8784325.012	10816525.02	15644333.65	71979809.11	71354371.16	40611262.45
CTSB	204942664.8	207496100.3	171501014.4	95282380.47	102081466.9	116135433.1
DBN1	48913843.24	55818606.4	46827616.94	20860842.38	14311031.22	14805516.18
NSFL1C	6990123.422	8070628.289	7087494.161	4445066.401	4040118.844	3331567.471
ARL3	7078506.655	7365929.073	5355421.324	157534.6297	238815.4153	373651.3257
KIF2A	1616766.256	1827983.153	1493829.1	433323.6535	515312.1241	374306.4657
ARSB	1000265.3	1691312.721	879116.1869	2867597.306	3225680.5	3021224.191
DHRS7	190832.8264	150583.5104	293627.2233	6358852.788	3357713.542	3951275.107
ATP5F1B	131891256.4	137680187.2	161280231.1	249202440	321787892.5	334207199.3
ATP5PO	15852326.04	17457946.73	19870320.71	1799810.073	1921143.041	2829133.138
SERPINC1	631959.4546	1071948.166	1342717.904	4182309.017	3833976.703	3274149.31
FEN1	5686548.773	4629690.49	5680048.398	1339505.417	736457.8773	1221611.444
PSMD2	35540296.35	37982299.78	45973530.33	25001814.79	19777953.17	21896650.16
TWF1	9752513.667	11802019.64	11611822.66	20660686.35	27685672.47	24494159.2
CDC42BPB	1672925.45	1692107.811	1694879.898	5195996.486	8159201.274	8524877.202
COPS7A	4381549.741	3882997.058	3937845.999	1751959.534	796606.2952	699986.4894
NOC3L	966324.029	797509.6369	887603.1045	2501767.247	3220901.425	3443539.199
DUT	5456220.236	6848809.297	7914835.894	2755316.459	1438078.897	1267007.234
ACO2	17245164.85	17873044.57	18795183.91	25355188.62	30910432.98	29235907.08
BCAP31	28402480.63	28834949.49	21826261.03	52684184.84	71869319.99	72626200.19
RGS10	1998086.948	2083870.679	1826185.008	6545889.293	10839216.07	9567791.656
ERP44	41401870.65	41329324.74	43125124.15	22452547.72	29149373.2	28476122.76
SCP2	18771780.45	11956863.07	15256241.99	33291094	39738004.89	43347855.37
MXRA7	6015935.428	5420568.731	5746991.348	9785308.24	12415732.22	12496499.21
LAMTOR1	723933.3405	878605.4117	1435823.335	4639709.191	3481893.665	3560125.139
CRK	5107586.945	5889723.299	6368916.482	26744790.08	39019953.75	33453543.01
LCLAT1	498406.0459	582272.6865	743329.981	2311879.568	3656901.86	3680538.22
VIM	16491793107	16611640159	15246314400	11946261744	8138632013	8359637908
EIF3L	54587958.87	54064825.01	52670258.09	30130136.07	32189779.44	35300997.59
CAPNS1	25767044.99	28390506.49	23348897.38	54630198.05	71366288.19	74403754.37
SEC13	22367055.39	23356429.54	25438599.68	12247983.52	8163664.514	7458208.514
SNX18	3411085.336	2888148.897	2157366.319	10502203.43	12496226.12	9897017.268
UPF2	184049.0818	205577.1248	271606.4508	1053367.507	874124.9785	781015.6787
TUBB3	91612782.51	103473024.8	89427638.85	71964725.25	68896703.31	69997098.83
ARF6	8881660.182	8174383.741	7182451.744	12968410.67	15594516.64	13657217.18
SGCB	20305485.62	19103665.52	22255021.52	3219090.497	4275836.419	2726516.386
RPS15	26600462.21	24902455.15	22181110.34	12315375.77	10317367.93	16806546.86
SLC25A1	4061397.988	3709568.884	3865072.013	10070567.99	8456375.665	8291594.49
GSN	25676748.35	20419695.54	13964510.29	56215879.23	77575931.55	71606425.97
PMPCB	5049494.192	4087569.841	5415595.065	2136283.003	1341535.595	1045257.025
MON2	1297347.588	1305950.487	900968.1867	239025.2506	219430.2778	302271.4986
NTPCR	229730.0543	260963.1882	262709.5726	2293536.188	2060164.625	2076328.549
FAM98B	534651.3005	478478.0246	535900.3194	57458.82208	59890.14413	43245.23461
HNRNPK	161755238.6	147336619.4	167611094.9	79127610.35	79082158.6	94685127.89
CLTA	44705883.94	43191329.6	52983789	26231666.24	10383129.07	10208016.53
RPL30	33135189.74	27005962.91	28660355.8	63356778.06	61358640.52	48822016.36
LSM14A	1673540.159	1766236.273	2202844.415	499535.1618	430234.8111	624753.8455
PPFIBP1	15003205.08	15225201.58	12854679.98	6639009.862	8760797.843	9933454.877
CTSL	5369726.33	6266896.359	7683299.068	11543877.41	14242020.07	14553026.09
AGT	1005371.419	878156.3937	549294.8141	1746717.705	2855310.348	2968670.339
NUP37	1709858.49	1651807.244	2755963.139	155923.821	148821.6109	203578.8637
ALDH1B1	3873722.656	5050815.813	6438222.408	10803722.7	14147140.82	10258722.51
SORBS3	3219138.045	2769967.455	3409654.798	17420607	16071157.66	18393146.93
POSTN	463574.3543	494649.9139	549582.3851	1079313.529	1886973.769	1724682.426
HDHD2	1860403.492	1314178.275	1660939.52	374518.0514	231543.4129	306398.0307
CLTC	208245430.4	205052533.2	248554954	128340531.5	106698275.1	112097556.9
HSPA1B	125592401.5	108250201.1	124901518.6	77156737.5	60672178.74	71109622.65
ERP29	21668473.04	23101715.11	25322107.49	30181143.41	34368866.93	37356168.95
PACS1	3663970.666	3537301.355	4870366.459	2032361.25	1054486.67	1308020.713
POLDIP3	34536696.9	25448674.62	29298982.17	421325.208	1100853.412	837577.2364
MAN2A1	8965638.724	4142942.674	5923831.865	567066.5844	524135.3211	576441.0715
C11orf54	580458.6377	439122.8324	490199.5891	1195919.727	1332167.893	1331349.383
BPNT1	3235371.909	3470356.717	1481752.95	5804876.641	6791661.869	7442546.426
ERLEC1	83099.1218	178993.3653	232309.1713	2840397.467	3319564.705	3995670.788
PA2G4	45767950.12	53090576.21	55341272.75	21978648.27	21169640.37	26251711.99
NCLN	14245967.21	14755021.07	12787198.33	9050425.925	9597203.04	5919801.539
RPL34	43445511.74	45279676.81	51442617.44	31847822.91	12965080.14	15089920.14
XPO1	17981754.78	17488909.68	17413230.7	9180569.39	7604333.859	8520861.603
ATXN2L	7280759.784	6901893.506	6973028.757	4257723.907	2249005.618	3005479.685
FNTA	5016355.208	3598407.781	4520172.041	1478092.234	1184437.653	1269159.489
UFM1	8965260.31	9927457.445	7671350.201	21720376.33	24508250.77	24241889.17
NF2	1056710.646	649393.6178	664492.1622	1653172.675	1757612.132	1572268.266
LASP1	104198846.7	86072650.09	85674153.37	139301566.9	155560860.2	152116913.3
HMGCL	1668983.503	1592501.57	1992868.904	8462691.845	9795999.45	9227548.609
LAMTOR2	696627.3134	859629.671	480513.6065	2291053.902	3325669.936	3169794.611
WASH2P	3244174.348	4068163.678	4268195.505	1692677.27	740922.5935	1373813.126
DDX27	2021945.541	2046880.204	2781776.639	228538.1192	277911.0899	357745.2961
PGM2	6776781.878	6245074.471	8151159.697	3543507.287	3148193.743	3957182.503
TPM1	600992939.7	544803449.4	510274175.5	837973510.1	1127772818	1072756473
PRDX2	84458298.49	78034244.76	82114781.78	24925981.88	19584619.64	24989193.9
UNC45A	20713719.23	17281592.03	21799550.17	6717058.331	6972585.046	5933144.854
USP10	441969.7789	812773.5667	846658.0326	3032789.202	4673124.45	4653758.647
GSN	101052723	103211084.3	88498314.22	165606950.9	189865250.2	200123857.6
IFIT5	927026.7096	1303541.397	1452597.394	2569885.221	1962830.969	2185998.433
PDXDC1	2171942.132	1775485.627	1499065.251	4324198.548	5868487.096	5251557.794
MDH1	72453480.59	69117107.22	82625232.43	37751948.61	43780121.99	53586732.55
ZC3H15	3872570.87	3593520.52	3350870.907	5837858.502	5875478.003	7891353.14
PPIH	4366515.638	4290825.471	3903476.803	1251441.705	776894.488	518090.0134
FH	11441289.93	17548805.72	20320666.74	37858811.7	36078310.39	27810916.33
ABHD10	943741.2624	1009940.376	1152161.145	3479171.498	3067243.613	3983564.75
WASHC3	787110.8588	802257.9489	432446.1714	2950411.119	2896091.145	2391147.488
MSN	529479277.6	593758600.2	616480702.7	459515132.5	441293091.4	417950286.1
SERPIND1	5761800.941	4455972.014	4043457.031	9755358.93	7341881.784	9267243.072
MOXD1	10042053.02	7015611.039	6278213.095	15460389.43	14598097.89	12424871.44
APOBEC3C	141894.2667	153241.252	183861.1823	2210310.755	1134717.67	1506997.702
PCYOX1	15393111.17	15298809.65	12904756	24689110.68	24976535.96	20721818.41
SH3GLB1	2968704.528	3497310.959	3980139.045	5449957.779	5799879.349	5892287.931
TCIRG1	3012787.302	3108436.432	3513852.587	204648.2955	137021.5964	180515.0777
PREP	5277382.54	6171541.207	7376046.582	10690470.84	13912440.54	11447572.88
CD63	5532963.87	5363475.774	7029194.081	1614549.636	1766793.252	1549809.927
ACSS2	500921.3177	529888.247	655058.545	1966947.189	1597792.042	2136359.491
ALG1	561247.8492	721112.6675	586866.5257	3124112.119	2184743.898	2465822.724
RASA1	2233952.324	3061565.645	2767815.699	1771405.118	1472660.055	1583327.851
SPTLC2	1865259.824	1955346.182	1750752.499	86618.52759	123013.6115	157241.7893
CHD4	14240087.89	14396890.29	16912496.51	4122432.695	2493949.26	3193023.603
FLNC	882102654.5	920845122.8	893254386	776621977.2	791218330.2	793355240.7
DHX29	2653012.131	1497751.882	1788808.733	635718.7406	486633.2242	444710.8248
NOP58	9149238.815	10057589.5	8864378.354	11646333.85	13268251.88	11678491.09
RRAGC	1441549.271	834774.9449	1118122.301	3598030.405	2967980.087	2389053.283
AAMDC	491128.7135	562793.6309	757165.102	1528217.48	2144548.289	1805697.363
CD109	3106575.989	3305957.765	3803036.344	19560456.02	16436458.81	16480337.65
PRRC1	7217943.423	6666591.081	6739724.563	2382923.458	2102914.727	2619644.09
MKRN2	2432393.832	2355400.757	2735340.89	530537.1506	628002.1959	658835.1732
PPP1CA	17439301.27	19318728.53	14347922.67	4858433.758	3093163.346	3687636.189
RPF2	1034728.827	1388663.978	967189.0429	1981054.169	2494297.848	2203441.398
TCAF1	2582199.706	2372687.648	2315907.744	598859.2636	125390.9214	799449.7419
GBA1	14523106.9	15270991.7	12767003.32	21793849.8	22479756.52	22522923.49
DLST	11470468.34	11739642.31	9564222.678	18592256.57	22679708.47	19004474.33
ACAD9	5090676.305	4643049.3	5824282.313	2655120.082	2867228.439	3384236.401
DCPS	2543797.347	2175053.647	3243431.311	1178151.294	909741.3591	668909.8222
TMCO1	2417492.704	2439053.324	2925269.332	1402904.779	717304.7874	863599.5234
FUS	34696662.34	25829135.23	29844893.36	7242438.617	7935240.104	9566849.985
FTO	4336795.483	3864801.703	5292457.692	1900823.236	2180666.925	2885642.11
AP3D1	6260723.343	6495844.384	7372483.785	4118956.05	3865608.263	4582939.168
GPX4	335902.272	102568.7673	201053.8997	3470111.006	3259777.192	4231970.386
EXOSC7	1734127.463	1665782.794	2067464.142	644988.1697	1030407.27	875142.0042
OPA1	8585126.565	8868086.13	8093521.936	11967195.76	16405021.7	17209362.71
ACACA	6875673.711	7567593.939	4835916.448	11068910.81	15876324.42	13334149.76
SPTLC1	4053609.898	4133340.512	4910083.644	2711793.413	2104457.577	1715606.702
GNG2	5272264.495	5633543.83	3785066.599	674574.1008	873500.136	780890.2618
ATP6V1B2	15921371.76	17964430.33	16369022.46	26172632.16	22262986.83	24649346.28
ITGA1	2603045.935	3111217.432	2299476.067	7155753.74	6387092.704	7643777.783
EIF4H	10117123.75	10613161.89	11368231.28	5830138.173	3103155.153	4725320.053
HGS	6307917.686	5448894.26	6893303.142	8788573.406	11492088.82	11332957.91
SPTAN1	170344614.8	170651948	170183323.2	209069350.5	223244470	236409368
SEMA7A	7726665.295	6856351.317	9536571.308	3002295.288	3489441.201	3572015.091
CRIP2	19998339.66	16464964.48	14447066.03	29048435.22	36679950.92	37345708.86
GDI2	42081505.75	49665308.37	42878271.79	77921297.46	80864427.21	79253756.21
AUP1	2438824.747	1808168.034	2291564.55	3480848.432	5338293.531	6120261.612
SRM	10298405.25	11025026.99	13503666.96	19388907.19	21112128.29	16707476.45
SERPINA3-1	1153355.073	1519272.646	1845494.843	5100692.17	4720769.337	4164663.025
ETHE1	6726050.163	4263403.635	4478249.154	2212543.231	1466960.534	1184196.815
DYNC1H1	201656072	195373136	209259163.3	144836617.2	138021447.9	137554648.9
PFAS	1558270.742	1698018.11	2336576.384	790337.3619	341102.4626	597825.912
APOOL	439645.7069	362037.36	131323.3335	588965.1008	981558.7749	975309.414
CLIP1	3098995.51	3899972.992	2204735.533	6326416.851	7962100.805	7722370.95
CHMP1A	2187121.479	1534208.859	2382442.05	3756443.314	4471794.478	4746506.42
EPS8L2	3787651.719	2536669.017	2188591.38	4902499.024	5568822.748	6614800.577
ACOX1	3092674.296	2674619.635	3191731.12	5276205.919	4945208.431	4721773.546
POTEI	664317.4422	936070.2776	1146565.188	313781.1773	231614.8226	310719.1087
SPTBN1	118407150.3	126524274	127672576.9	147405527.6	142139571.9	134288275.8
SSBP1	20473902.52	17455120.47	19980664.89	24309335.08	23084770.94	27491021.46
NIPSNAP1	4102421.16	4422978.135	6312452.837	7018556.544	8532340.47	9163528.223
PSAT1	9582481.271	10695607.91	13949235.73	16839059.54	23923444.41	20392399.99
MYO9B	12464872.04	14855834.61	16622259.52	2736302.587	3189820.733	3147309.911
TAF15	1998775.445	1779616.947	1697507.457	487133.6213	342214.8749	437813.7785
STX18	662672.7047	696476.6213	613794.6017	392904.9549	252970.6469	324756.1287
ARPC4	24481556.26	24887492.45	16439687.54	39903048.56	35679074.79	31734513.47
PDLIM1	17232064.95	19322714.12	19075231.86	24005566.22	28822688.74	27516071.91
EHD3	110947.9127	55184.83177	93916.39135	352174.1819	295924.0064	424504.9226
RPL22	22139027.86	19197139.39	20645032.48	31391864.39	36157990.33	41231781.05
MAPK14	3856326.891	3564561.733	3317588.093	2805622.279	1863948.67	1438815.017
FBL	3943684.299	4315891.626	6274683.181	2853740.271	988154.5341	1014613.375
EPS15L1	18654689.75	15888830.16	10203353.26	5718166.311	5985241.67	7074247.745
TRIM28	29027833.05	33189126.85	42701151	15377772.97	14329115.94	18051880.35
ANKFY1	1239391.671	1305090.067	944728.8696	2594169.699	2403909.889	2818592.054
LACTB2	204643.772	255408.7938	386694.0592	1045930.808	1613480.686	2286803.049
HBA	98152394.64	123051465.5	78741702.53	186001336.3	254416767.9	260297517.2
RAB21	1982508.127	2729821.772	3387094.423	539363.7811	1516957.212	925018.2904
ITGA11	601049.3855	667191.2359	672805.3832	3601536.788	3374488.992	1481019.114
IDI1	629883.256	260169.369	382509.8109	75976.73049	25254.90662	28098.03872
SUMF2	7314327.798	8177106.248	7252666.994	6507754.132	5023479.396	5776555.001
GPC4	139814.1612	140036.9422	187988.0803	693731.958	469828.8725	357344.2315
HSPA4	26547712.59	29680231.84	30689620.11	54489318.46	62056920.5	62791188.53
PRKG1	268118.7787	467348.6729	471205.9806	761707.7598	994679.0972	818483.1924
ADIPOQ	1098573.33	1404148.58	1493075.724	3140215.982	4925354.822	3518287.826
COL1A1	1542567.593	2039569.23	2003660.082	27366385.87	18908962.55	20671376.21
TSG101	11886743.47	11796995.6	10024952.52	1209765.255	850223.7677	2060166.568
PFKM	1787564.859	1551444.64	1131619.324	786412.8762	121589.2345	135650.575
ACTN4	698029213	695964592.2	730899872.4	491599794.3	528204523.9	531815503.8
LUM	192025.1288	207694.0449	222704.5948	451138.4711	505006.5073	503000.1817
CDKN2A	594859.0676	789069.9055	1001574.56	308261.6788	234690.8751	239526.268
RAB35	374382.7369	511034.5936	290021.5443	1920101.821	3540574.657	2874049.497
EEF1G	221119913.7	198930655.6	194453664.8	135244893.2	92147839.51	114661908
HGH1	1468613.008	1621851.841	1771097.756	1196886.78	254326.6839	247661.9722
CSRP1	2912108.633	5581571.619	3121653.119	53784741.76	54562232.76	57758340.33
FAM50A	5512758.717	6017943.808	3992840.839	2509638.226	1868601.329	1437783.18
NAE1	3273340.05	2995583.575	4149459.086	2069759.571	1711947.854	1011039.825
RPS27	30755661.35	30862046.31	20137645.17	12018609.72	13282668.56	16699313
NT5DC1	1086246.015	1263247.486	1275371.985	633428.6299	170158.1815	793146.2666
NARS1	15104619.37	16028730.03	14662323.75	6737420.041	4761354.013	4740702.783
NOSIP	270016.1173	209276.4391	378608.6678	132306.4897	118257.2821	142795.1817
