Gene	CTRL_1	CTRL_2	CTRL_3	FTY_Eto_1	FTY_Eto_2	FTY_Eto_3
ERP29	21668473.04	23101715.11	25322107.49	37397304.23	34674451.89	36302358.52
APRT	17339636.56	16623835.12	17524503.13	3285607.633	4098864.865	4769993.589
CDK1	667429.9132	940309.4154	521857.0682	61423.36719	55246.81867	124753.2502
DDX18	673374.1293	640279.6333	696397.5523	2564471.426	2040543.91	2171005.513
ENDOD1	3478647.545	3582693.684	3863023.215	748726.8594	1515993.851	1499728.318
ANKFY1	1239391.671	1305090.067	944728.8696	3454708.598	2983797.104	3706924.348
CHMP2A	2467697.924	3126900.508	2187485.538	6924853	7831758.062	6981220.48
TNC	14196999.57	14871263.62	13876723.82	49222256.7	40740182.76	45059991
CAPG	30022170.83	28293158.83	26894788.25	66032398.37	61896516.04	55977183.27
GJA1	1276354.257	1241225.101	1333432.526	5575447.594	5545692.364	5398274.261
DPP9	6269729.747	6395783.599	4018393.089	12736316.3	11762745.63	11621007.48
NDUFA13	1147796.99	789749.5641	1007491.857	3618105.109	3928595.901	3402990.995
SEPTIN7	39093379.31	43346420.73	45290723.86	59368197	58206675.89	57774661.88
ITGA5	5942831.364	7199903.786	7717381.375	3432988.281	2497384.289	2775442.521
PIP4K2C	283664.0195	293404.81	183045.9947	1262772.605	1358451.967	1362883.913
COL6A3	386805279.9	388178566.3	399010166.1	751558271.6	655552662.7	721466338.5
EPS8	6966317.612	7689760.067	6848487.177	4596308.164	3776831.409	4955837.593
SWAP70	6065028.61	4765675.177	4731239.288	9980355.406	8912394.727	8387257.402
RRAS	3686771.411	4452243.724	3381271.604	12131097.41	15045210.67	14540267.07
SGCB	20305485.62	19103665.52	22255021.52	1553944.172	3923260.891	1717620.406
UBE2K	3352094.001	4194180.294	4842106.638	1868591.313	1290268.188	1681171.288
ILF3	44168945.46	52975628.01	34033174.71	77235987.43	77897265.94	73739673.42
FKBP9	17738668.12	19578039.84	20634492.08	28950003.22	34038354.56	33025561.17
SRSF5	6014474.381	5287854.441	4353327.899	2086328.047	1676250.084	1892819.316
ARL3	7078506.655	7365929.073	5355421.324	645800.75	752861.5719	553267.0132
TGFBI	19318249.38	19072413.57	24140025.39	52864841.93	35697390.48	45292658.99
ATP5PO	15852326.04	17457946.73	19870320.71	3959253.578	2770036.716	2039927.986
DDX21	4555591.254	4940874.867	6277169.101	1402587.789	766143.5934	871249.9477
TUBB3	91612782.51	103473024.8	89427638.85	74365311.25	68342340.53	67789564.92
PDCD6	4463815.662	5570512.67	4419536.034	1600950.469	2154905.726	2623339.506
SORBS3	3219138.045	2769967.455	3409654.798	18151390	17522176.77	18388335.16
HDHD2	1860403.492	1314178.275	1660939.52	246204.7813	257194.2607	249542.0097
ORMDL1	339117.7138	240390.168	297024.8356	123647.2656	157277.1276	124578.4466
VCP	184842908.2	188485066.6	194234281	131667812.3	134708807.9	137881739.4
CALU	261999945.4	273294779.3	284493109.5	161562651.3	166482312.5	165084545
FNTA	5016355.208	3598407.781	4520172.041	782100.8594	1290274.369	1009257.185
ACAD9	5090676.305	4643049.3	5824282.313	2813427.805	2790541.809	1782680.338
SSBP1	20473902.52	17455120.47	19980664.89	26007694.53	27519676.06	26739835.46
TUBA1C	1361968612	1490257311	1623605110	647496590.6	775320906.7	805133721.8
PSMB1	16910229.19	17816494.85	22339088.03	9179152.734	7889893.355	8303108.783
PDCD11	1038552.872	1372297.814	876340.5681	4589639.879	4578229.425	4014564.9
CTSB	204942664.8	207496100.3	171501014.4	127489022.6	109458491.1	112299001.3
CTSL	5369726.33	6266896.359	7683299.068	13896444.34	13838554.97	12342037.11
SNX6	16375361.32	16804911.05	17200068.8	29954143.82	30787272.4	29485864.66
FARSB	16884909.83	19284159.38	17820022	25291511.91	25808746.35	23481350.47
LSM2	332808.9715	505377.4144	322473.6979	2385478.641	2830129.339	2319803.586
CYB5A	491806.8658	336429.3861	360461.4689	4105343.863	4133403.343	4665695.798
PRDX2	84458298.49	78034244.76	82114781.78	17981435.67	20529103.83	18231717.73
PACS1	3663970.666	3537301.355	4870366.459	1430900.82	1318188.368	1653061.981
DDX27	2021945.541	2046880.204	2781776.639	153880.8672	55143.82612	274680.1169
POLDIP3	34536696.9	25448674.62	29298982.17	536825.9844	980621.5088	791671.5164
ATL2	198005.8988	214076.0628	226307.601	133488.3594	110802.5534	139420.5044
SPTBN1	118407150.3	126524274	127672576.9	147981236.6	142956083.3	145251431.7
CALD1	126110168	137253653.4	159850495.3	222467082.7	217691062.5	220534311
NCSTN	1838007.655	2049930.872	2571967.209	1077070.438	368048.0991	875933.5087
MON2	1297347.588	1305950.487	900968.1867	176210.3906	372365.3893	365415.3741
PYCR2	954004.6695	1057768.398	1198039.828	3621078.563	3601332.442	3500236.788
NUP37	1709858.49	1651807.244	2755963.139	276803.0469	207691.0201	262221.8813
EIF3L	54587958.87	54064825.01	52670258.09	34062761.14	35699566.26	33488052.75
SDF4	14226854.02	16819537.43	17800008.2	29507961.03	27133958.81	29944450.97
PLEKHO2	734354.2723	729385.1718	807487.8601	12623592.08	11814731.13	11073547.37
PRCP	836300.6055	1831182.794	2268949.818	9529839.063	9445926.82	8558527.723
RPL19	87720406.21	62993688.49	72811836.6	32507645.3	24035602.04	24016865.66
UNC45A	20713719.23	17281592.03	21799550.17	6324719.344	6065291.509	5965320.15
CHMP1A	2187121.479	1534208.859	2382442.05	3909636.031	5716518.74	4740325.048
MAPK3	7451695.113	8974694.526	10188379.79	2309665.016	2819122.651	3178047.348
AAMDC	491128.7135	562793.6309	757165.102	2519001.375	1643136.281	1678931.824
TAGLN2	155627044.4	161235167.7	162984069.2	138281168.7	129952724.9	136768239.5
SMARCC1	31181.50888	56214.77409	46155.49289	1530913.375	1230481.928	1376061.861
NDUFA5	274512.9345	294012.3014	741223.9005	2255212.932	2199636.489	1979034.163
KIF2A	1616766.256	1827983.153	1493829.1	561563.8125	550473.2051	865522.1343
FRMD6	724199.0084	903021.951	524048.5901	1218758.563	1533703.075	1502057.811
YTHDF2	21558.86129	52908.59465	47469.97782	322025.9688	457387.9975	369457.2645
MAN2A1	8965638.724	4142942.674	5923831.865	724196.2813	812000.6226	1036727.938
CNTNAP1	192341.8867	357382.0304	260050.4593	945517.4688	1093139.053	1081167.614
NTPCR	229730.0543	260963.1882	262709.5726	2066936.156	2033043.541	1732441.25
NPEPPS	21940425.87	21106867.65	21058612.3	29267577.36	34823746.59	31348136.38
PDLIM1	17232064.95	19322714.12	19075231.86	26198709	28492231.66	30433450.14
USP7	4362083.926	4629674.597	5357144.303	2578670.209	2368954.265	2467435.987
CSRP2	5448161.91	6628756.791	5115799.836	12899659.88	12508732.14	12015670.8
P4HB	582356881.2	585542013	613189799.4	791755211.1	753035775.9	783539219.4
LRPAP1	25152327.31	27663687.34	28273321.14	45718047.84	41341328.25	41409791.54
NCLN	14245967.21	14755021.07	12787198.33	8947273.242	7652436.867	8798069.363
CAD	3493737.579	3891604.369	3968527.029	5319547.961	5107064.533	5559087.9
AP3D1	6260723.343	6495844.384	7372483.785	3278594.813	3806375.608	4685289.942
CKAP4	261827035.5	269411123.7	259236603.3	373083148.1	372504345.1	363152812
PFDN6	7049221.999	13294488.45	14010180.53	2274467.508	2354312.541	2631492.741
ATP6V1B2	15921371.76	17964430.33	16369022.46	24009125.75	26331656.21	24887984.4
CHCHD6	757337.8343	953708.0003	713252.3711	3838047.563	3211711.255	3890778.56
MSN	529479277.6	593758600.2	616480702.7	447673347.7	440909526.6	431175432.9
TCIRG1	3012787.302	3108436.432	3513852.587	152126.6671	161267.4847	115725.2129
SPTLC1	4053609.898	4133340.512	4910083.644	2400399.072	1744691.839	1855404.888
BCAP31	28402480.63	28834949.49	21826261.03	58939216.44	59929170.97	54792424.88
SEC62	5151075.082	5317675.473	5775811.484	3168665.625	2879113.214	3481352.478
DFFA	636998.777	675920.7757	867647.7533	3922113.391	4277279.972	4283214.815
LAMTOR1	723933.3405	878605.4117	1435823.335	2638114.469	3796700.489	3598275.404
GDI2	42081505.75	49665308.37	42878271.79	82605785.4	86956019.57	77346624.51
CSRP1	2912108.633	5581571.619	3121653.119	65651325.36	66810161.03	62951863.42
BPNT1	3235371.909	3470356.717	1481752.95	7319840.594	5790108.588	5810287.62
RPF2	1034728.827	1388663.978	967189.0429	2223227.344	2322419.43	2291567.101
EEF2	779961314.3	787372288.2	839134772	638806815.8	590441421.3	591957798.4
SEMA7A	7726665.295	6856351.317	9536571.308	2810730.641	2977778.849	3118815.949
MKRN2	2432393.832	2355400.757	2735340.89	470936.0859	557866.4247	572551.371
MATR3	46898893.01	46223666.19	45288561.62	36979166.02	37622208.1	37424786.04
COPG1	18966584.96	18046167.58	20709840.83	30332793.33	27250826.76	30953525.02
DTYMK	18815650.34	19481257.04	18462318.96	31681731.53	32517519.09	30404066.37
GPX4	335902.272	102568.7673	201053.8997	3947052.125	3658777.687	3883768.974
TP53I3	1619978.74	477187.0827	1136880.387	7686675.219	5718695.492	7067191.556
FLNA	1884851886	1839619201	1935036357	2342378920	2401933877	2367700401
DES	7101287.083	6435339.873	6061718.409	14463443.06	13438769.61	14202070
NEDD8	773954.5568	631834.6175	706363.5543	1815868.25	2209603.304	2292203.277
FEN1	5686548.773	4629690.49	5680048.398	1897707.109	2048960.349	2488164.794
AK3	3280226.212	2969166.04	2039853.927	7598353.348	7275263.501	7015505.006
FBN1	5472094.828	4865765.733	6973071.851	2427696.844	2511586.714	2295839.021
SNX18	3411085.336	2888148.897	2157366.319	9059162.063	9931871.758	8772697.682
LSM14A	1673540.159	1766236.273	2202844.415	697992.6875	880555.9547	721323.3746
EIF4A2	10994278.09	10878884.06	13426630.15	7105076.633	6286491.409	6860009.567
LAMTOR2	696627.3134	859629.671	480513.6065	2485722.852	2755218.503	2750665.585
EIF5	4554405.499	5458865.83	7677182.151	11831273.56	12776533.04	11891010.8
SNX12	4160897.997	3382039.817	3257602.612	7044834.25	5961406.492	7883253.781
SUB1	41129479.33	42704285.97	45754532.89	31418176.88	28319311.57	30518474.05
WDR26	1485980.267	1329316.174	1341120.08	664253.4922	649297.858	834958.8037
ACSS2	500921.3177	529888.247	655058.545	1923954.781	1518054.802	1992363.79
NASP	4607567.753	4215215.08	4704532.018	10143574.86	10312768.13	10410972.33
BYSL	2157481.794	2353468.095	1930672.953	4705167.938	4806785.231	3843273.034
GNG2	5272264.495	5633543.83	3785066.599	902832.6875	779127.5746	795440.9001
DYNC1H1	201656072	195373136	209259163.3	144678403.8	135885332	138026730.6
RAI14	12226014.81	12962049.59	11307542.16	20575605.52	22186802.84	22276328.05
EHD3	110947.9127	55184.83177	93916.39135	372718.1875	293687.0075	441840.4096
B2M	38167116.29	31099420.93	32049935.7	78449740.11	65319845.26	67931477.62
RAB21	1982508.127	2729821.772	3387094.423	1126977.125	515382.0846	1027552.537
EPHX1	6479977.216	4434657.656	4325159.344	7792912.938	9597568.254	10115217.33
UPF2	184049.0818	205577.1248	271606.4508	839975.5625	615555.1416	747122.4397
TWF1	9752513.667	11802019.64	11611822.66	20089520.84	21279940.84	20059576.69
WASHC3	787110.8588	802257.9489	432446.1714	2456622.203	2641124.595	2401769.825
TRMT10C	1854562.959	1564816.631	1086075.461	2959333.563	3092608.655	2557821.484
SUPT16H	2836445.879	2855000.831	3988036.88	5329839.826	4892812.803	5223788.788
GNAQ	1141806.104	1027894.017	1167387.767	2467599.09	2337383.426	2388119.005
CDKN2A	594859.0676	789069.9055	1001574.56	283278.3438	155171.9343	286828.446
DNAJB1	4574096.763	5080753.476	4887452.516	2298592.936	2004785.536	1933373.098
HGS	6307917.686	5448894.26	6893303.142	10941705.19	9740729.603	10076987.68
LCLAT1	498406.0459	582272.6865	743329.981	2522707.25	2470523.248	2367500.592
TXNDC5	65058823.15	69197723.01	85419257.93	51789076.69	49424458.41	46018220.49
RPL12	84514988.86	77310855.88	106424600.8	59381084.12	53900573.26	59773538.99
GSTM3	5702337.553	6313018.327	5287757.064	7573285.688	7035341.873	7002064.145
MRPL2	2295023.891	2451363.683	2770627.488	703122.875	644092.4555	672704.8302
COL1A1	1542567.593	2039569.23	2003660.082	24938890.34	27294322.96	15302171.12
RBM39	6062645.539	4650909.849	4828096.04	1923493.25	1942502.231	1942264.626
PFKM	1787564.859	1551444.64	1131619.324	282540.2188	228753.7053	512355.4511
EPS15	2511652.751	2439115.296	1738191.365	815342.0703	1030250.154	748039.0143
POTEI	664317.4422	936070.2776	1146565.188	337326.4121	370435.5358	248163.5477
CAPNS1	25767044.99	28390506.49	23348897.38	51061864.42	54580519.63	58357063.33
FTO	4336795.483	3864801.703	5292457.692	2392662.672	2532754.218	2717707.833
PCBP4	201034.965	275368.07	297674.3306	134067.5	151709.1519	161878.2129
TNKS1BP1	5726648.189	5679333.461	5550540.371	10440258.34	9498750.439	9889213.237
HBD	16467622.48	16435829.88	10743471.13	7977155.5	5165817.1	6802970.885
LASP1	104198846.7	86072650.09	85674153.37	120724619.1	144214529.1	144706571.2
DDX50	522682.2949	574710.8517	383186.0413	1971814.406	2094939.033	1971494.575
RPL9; RPL9P7; RPL9P8; RPL9P9	39803300.78	39547554.48	49363672.99	12178287.39	13522525.81	11961255.46
FLNC	882102654.5	920845122.8	893254386	836524764.4	795922001.8	780448254.7
PLRG1	2062186.878	1667403.218	1598381.479	4652963.125	4089072.606	4819091.301
POLR2A	993105.6641	982312.88	1027798.082	521047.2813	399974.5677	427972.4583
MDH1	72453480.59	69117107.22	82625232.43	50073894.12	52755152.02	50019013.33
PA2G4	45767950.12	53090576.21	55341272.75	30242393.09	30893678.43	29322992.21
PPFIBP1	15003205.08	15225201.58	12854679.98	9716180	10482224.97	10327307.87
NOC4L	520136.7961	532563.8998	729176.1798	1154751.031	1028829.288	812621.8544
SERPINA3-1	1153355.073	1519272.646	1845494.843	5604683.25	3774991.768	3555214.133
ITIH4	10806559.17	9894824.605	9869048.064	3410539.172	5451820.252	4535674.707
BET1	2387001.257	2111598.399	2236963.539	297100.7813	337655.7783	262921.9646
MYO9B	12464872.04	14855834.61	16622259.52	4654499.391	4089941.725	3470975.889
RAB2A	24456663.26	22647452.87	18505654.55	27320042.23	34837344.28	30368258.22
PRRC1	7217943.423	6666591.081	6739724.563	3547576.541	2718559.425	3097515.552
ABHD10	943741.2624	1009940.376	1152161.145	1785095.344	3699175.315	3427925.494
NT5DC1	1086246.015	1263247.486	1275371.985	637434.0156	490302.1112	541978.8935
PMPCB	5049494.192	4087569.841	5415595.065	2579795.859	2528534.933	2580459.314
PBLD	1397778.193	1301032.084	1618728.637	408822.4922	525232.244	602696.9155
CTNND1	21087091.59	19727100	19329804.71	13964748.31	12838547.34	12718530.91
EPS15L1	18654689.75	15888830.16	10203353.26	6096345.098	7452469.64	7327728.6
PLOD3	15533874.64	18329165.23	18747279.71	24602526.77	25449488.83	25191325.85
ADAR	3565205.482	2817692.793	2589086.962	10356610.89	11209062.66	11683971.99
LACTB2	204643.772	255408.7938	386694.0592	1729133.859	1286865.884	1599029.762
RIC8A	13181576.78	13298584.03	11001069.47	5765094.922	4803117.809	5028338.247
PRPF8	21650947.71	21135274.98	21956104.02	16087845.75	17181416.25	16410247.42
WASH2P	3244174.348	4068163.678	4268195.505	1842323.969	1359337.97	2673146.915
HMGCL	1668983.503	1592501.57	1992868.904	7542912.723	7472149.902	6459706.989
NOSIP	270016.1173	209276.4391	378608.6678	154734.9688	131458.1687	138838.067
APOBEC3C	141894.2667	153241.252	183861.1823	1367491.188	1297147.639	1174009.014
DNAJC2	360981.646	196405.4198	154317.7334	1348191.344	1664144.365	1501834.184
CTTN	67469192.65	67339724.08	56599893.65	89990674.88	90375402.39	89030646.92
SERPINA5	630494.8014	664406.2331	692706.7284	257620.2813	355755.8321	99937.82859
SPTLC2	1865259.824	1955346.182	1750752.499	569517.9375	542727.2622	411803.4407
HNRNPC	69345481.99	62126691.92	65074544.06	102244359.5	102651322.1	100328134.6
ITGA2	6219637.448	6874542.224	6134629.432	8831401.625	10500393.6	8607064.308
SLC25A24	12664165.31	13918963.12	10587122.26	21788091.71	20142968.57	20052172.93
ATP5PF	2339524.337	2995655.279	2704337.836	12975477.25	12832517.35	11444927.95
MTDH	11469756.23	13106746.32	13821775.42	31791286.2	32877640.19	29143884.14
CPD	2826096.275	2884759.71	2749607.459	5307662.398	5026188.698	5438765.985
PSMD10	3550853.185	3421386.162	3393996.109	4707415.25	6958691.708	7782049.393
PSIP1	2086044.972	1743165.527	1641413.993	4711859.719	4651302.304	4916573.472
COMT	28067652.85	27423747.9	26513554.47	16642578.95	15666058.71	13607369.02
GSN	101052723	103211084.3	88498314.22	159488179.8	166326343.1	157417998.4
FAM114A1	14184064.17	15455266.24	14481539.94	19649698.79	18775441.55	19260925.64
SLK	8644996.379	8832260.435	6653414.636	4472032.129	5103326.813	4834793.246
CRIP2	19998339.66	16464964.48	14447066.03	31420877.17	32262830.32	29672189.14
ASL	3832396.448	4107591.935	5208323.275	2416905.25	2153741.538	2614968.883
MIX23	6518564.479	2800116.447	4178735.449	343558.3281	228907.6175	241323.2628
CLTC	208245430.4	205052533.2	248554954	159748058.5	142038791.1	152674979.7
CDC37	19367462.21	20608629.17	23507431	16249889.91	17027776.18	14479632.85
TSG101	11886743.47	11796995.6	10024952.52	2373661.594	2512540.212	2718897.904
PDXDC1	2171942.132	1775485.627	1499065.251	4188690.531	4432723.721	4037688.904
SCP2	18771780.45	11956863.07	15256241.99	28637483.49	26532228.83	33085947.59
SLC8A1	829728.4414	832658.5577	908642.7231	392702.1875	463774.9717	370768.3922
EEF1E1	5558580.954	5387111.464	4765274.938	7220554.906	6579599.524	7089388.567
NUP160	183501.1652	137292.7631	113155.8154	1114063.531	1165320.438	1020998.974
FKBP4	21622647.05	18959861.13	19172263.78	96608984.82	109548201.2	100599019.9
ETHE1	6726050.163	4263403.635	4478249.154	2323352.844	2126736.452	2385637.791
COX4I1	27915457.7	23024021.02	22917690.12	48911823.61	44627437.94	48719695.37
ACOT9	8825863.362	9555196.797	8084305.243	13643450.98	16055942.46	14646227.93
EIF4E	19970753.51	18682545.67	15473909.58	14444527.39	12317334.34	12438758.1
TPM4	204196854.2	192784786.2	199852351.4	182828415.5	183083315.1	178721213.4
DDAH1	8711797.458	7692342.758	8123708.879	4428911.984	4880289.693	6112403.149
ARHGAP17	4298013.215	4726847.927	4067825.328	1503584.621	1309719.429	1841198.773
CRK	5107586.945	5889723.299	6368916.482	21053872.13	22743364.89	22680176.99
TBCC	1750050.232	1586163.078	1716593.789	5350792.328	4824123.357	4786393.096
CDC42BPB	1672925.45	1692107.811	1694879.898	4928911.938	4906244.181	4901692.228
COPS7A	4381549.741	3882997.058	3937845.999	2704299.109	1672722.276	2735858.868
ARL8B	2358359.424	2036606.925	3135219.843	4319318.969	4913530.021	3723457.405
RO60	3323497.569	3729239.763	5382811.064	8644611.359	6877732.169	7968089.764
ITGB1	123941372.9	113795627.5	106826998.6	142388550.5	156206765.9	150317406.2
SF3B2	13144363.41	13611782.73	11764523.37	22779204.83	23388598.4	23097233.77
PSMD2	35540296.35	37982299.78	45973530.33	30486611.3	28391719.28	30696931.09
RPL22L1	8227317.291	9206708.891	8104132.272	13360486.75	11967619.85	13274089.4
AFAP1	427509.4488	462731.8573	519175.8539	141061.375	184524.0118	137202.7694
DBN1	48913843.24	55818606.4	46827616.94	34055285.29	30743930.69	31813824.73
DDX19B	5572643.889	5724215.173	5431033.058	7132905.469	7527800.413	7415066.86
RPS14	129844917.2	144578195.3	101787738.5	48548094.62	48733856.88	80421906.27
RAB14	11592937.2	12196561.88	9822012.746	6809222.375	8487923.699	6634056.345
ATP5F1B	131891256.4	137680187.2	161280231.1	211904741	250130705	229147604.5
OSBPL8	5434206.682	6178294.993	6682348.841	12337029.41	13536442.7	12082142.44
NAE1	3273340.05	2995583.575	4149459.086	1731993.344	1747080.298	2150399.686
BICD2	869498.5882	409841.2591	686269.6134	1863863	2119372.437	1724292.789
BGN	2042972.799	603148.1715	811942.8659	4036618.219	4674828.848	4755726.559
ARMC10	370045.6961	481146.144	548565.4731	1300282.141	846674.142	1020851.096
CDC73	2342002.596	2444898.606	2684592.019	1048081.359	1194125.832	1375788.156
DHRS7	190832.8264	150583.5104	293627.2233	2520690.871	2901652.129	2256718.535
GTF2H2	894429.1765	1228712.168	2112302.455	440320.7031	452858.4921	553556.2207
HEXA	12378980.72	14019859.84	15061471.27	6431316.82	6247814.424	5636669.52
DHX29	2653012.131	1497751.882	1788808.733	661014.8125	1018622.022	1126772.359
GAPVD1	840315.044	844765.0006	559165.71	196182.7031	217131.0726	225068.1668
ACTR3	43613428.45	34277904.2	48812209.05	69478505.62	56408855.74	67661465.95
NMRAL1	601966.9805	477481.2982	711741.1231	63276.24156	74647.23162	37716.13266
ATP6V1D	2146994.24	2481562.776	2856234.859	1456153.75	1433643.706	1630911.404
ACAT1	11432152.44	12056283.67	10125855.44	15545035.25	21614609.62	22391388.27
SUN2	943055.1303	1077724.134	3014834.954	5032519.141	5118827.017	5395777.583
YTHDF3	9962370.005	8769200.405	10066667.62	15252316.36	14138604.9	13934097.8
DCPS	2543797.347	2175053.647	3243431.311	1387715.844	1434250.925	1335868.901
STX12	7234554.863	6624254.539	6054592.316	2922548.32	3050807.573	2368248.155
RND3	2234222.231	1611227.146	2330087.582	1313615.547	1127580.601	1211183.613
ITGAV	15400778.05	17494200.32	19104004.23	25313663.53	25578839.78	25519280.58
NR3C1	1499117.244	1798706.798	1525841.002	83436821.61	77235203.05	73347404.98
PFDN2	3674976.111	3902811.253	4946310.114	12295500.56	13705395.66	13659184.45
GSTK1	5787621.262	6018825.426	4842211.567	8795872.875	8829422.629	8950770.422
FAM3C	8236142.562	8051202.078	7944129.509	15478295.91	14593828.61	14569957.78
ALDH1B1	3873722.656	5050815.813	6438222.408	9523537.594	7692308.554	10083791.96
PPM1G	1538530.156	1572517.566	1261884.119	5287708.32	4501873.451	4986474.858
MAP1A	27860471.04	29334764.65	28225338.77	39410705.58	40767409.16	44033943.87
ACO2	17245164.85	17873044.57	18795183.91	21057466.04	25057145.52	24971400.09
NSFL1C	6990123.422	8070628.289	7087494.161	5727548.344	5424375.238	5707670.998
DCTN3	11060272.51	12278125.82	13154410.87	39001654.66	37747062.82	37451971.97
PSAT1	9582481.271	10695607.91	13949235.73	20327812.24	16458340.22	17860432.68
EMC2	2088690.958	1787183.129	1351973.277	4968195.031	2964932.971	3005099.554
HNRNPA2B1	105345394.7	125549312.1	130972937.4	324361021.5	286430110.5	293356124.7
PLCB3	2717458.25	2962343.798	3278862.451	2364423	2130273.674	2282759.255
ARPC2	84352987.12	90929319.61	73367299.68	119094116.3	126454849.5	108715149.1
SUMO1	5204217.754	5500755.78	3369103.648	9222504.438	8531143.947	8500996.487
SND1	91004966.7	87653759.35	95123046.49	111529750.8	117806200.3	104469414.1
FSTL1	1290644.946	1475918.769	1856763.638	4377550.656	3717607.001	3735600.501
