Gene	CTRL_1	CTRL_2	CTRL_3	FTY_1	FTY_2	FTY_3
ERP29	21668473.04	23101715.11	25322107.49	34806111.46	37555040.22	37681385.47
HIP1	5430900.346	5083469.534	6316536.368	8996432.273	8916436.532	10937070.13
P3H3	5136168.213	5473959.074	5433322.585	2063546.121	288827.1795	1707697.674
AP3D1	6260723.343	6495844.384	7372483.785	3756131.058	2047952.72	3181381.202
UCHL5	1676810.353	1129497.049	1540173.172	645684.6043	410919.4727	304979.7764
FLNC	882102654.5	920845122.8	893254386	790353306.5	706310960.9	746576358.4
MXRA8	6715853.553	7113436.113	8414954.045	4336556.714	4157770.461	2952835.228
ARFIP2	551233.0826	596165.7821	398798.0917	2598841.037	1838989.917	1800445.404
DIAPH1	11163156.85	10784758.6	9824627.805	7261157.855	7824930.172	8245201.628
PNP	6219585.377	7303144.719	6972751.249	4422105.815	5218476.575	4199870.805
CYC1	2564960.144	1673603.769	1929238.661	793337.8676	636509.6626	474849.4797
EIF4A2	10994278.09	10878884.06	13426630.15	6047024.787	2664831.068	6099443.258
NOC4L	520136.7961	532563.8998	729176.1798	1101333.606	1294721.611	1302901.849
VCP	184842908.2	188485066.6	194234281	153183997.8	114709447.5	128314094.5
UBE2K	3352094.001	4194180.294	4842106.638	1904367.191	1147047.822	1858051.752
ANXA6	521613383.5	485768898	479859210.1	411213382.9	383036567.6	398906062.8
CPPED1	902678.304	1057024.635	817763.7095	3483925.037	2263325.086	4071628.823
LACTB2	204643.772	255408.7938	386694.0592	1859191.591	1994905.843	2612643.295
EHD3	110947.9127	55184.83177	93916.39135	536037.0835	320152.61	480438.0017
NDUFA13	1147796.99	789749.5641	1007491.857	2753613.072	3134987.194	4106714.224
NCS1	108160.2426	245097.233	212776.1663	531936.1533	393996.5779	494814.1866
PGM2	6776781.878	6245074.471	8151159.697	4079035.199	1858367.451	3880017.334
EIF3J	6028579.818	5120393.556	4880841.318	8470457.228	8837822.4	7045081.919
MAPK3	7451695.113	8974694.526	10188379.79	4989618.008	281082.6339	2076491.976
PDIA4	111537690.1	109329876.9	102265617.5	148340864	196837674.5	200955828.5
PCBP4	201034.965	275368.07	297674.3306	134671.3386	83908.36779	126954.984
MAN2A1	8965638.724	4142942.674	5923831.865	1475541.702	290813.4799	238771.3217
WASH2P	3244174.348	4068163.678	4268195.505	1937379.132	1012588.655	634785.3956
ABCF3	1744329.499	1800926.626	1170588.806	882385.0658	361898.067	430354.046
CDK1	667429.9132	940309.4154	521857.0682	157432.9937	198086.4443	276505.271
CYB5A	491806.8658	336429.3861	360461.4689	5640946.883	2852788.467	3723315.062
PPFIBP1	15003205.08	15225201.58	12854679.98	7421315.417	9576711.321	9725162.903
EIF2B1	1726296.24	1643888.174	2037052.625	633401.3395	66293.13407	140572.2744
TXNDC5	65058823.15	69197723.01	85419257.93	50419831.5	38433432.56	43245304.25
PPP2R5E	1292928.115	1218241.625	988379.3986	2365531.456	2208336.225	2004734.387
NRP1	641718.5261	756367.913	371710.5085	2781322.486	1460089.61	2365717.487
WASHC2A	5683508.801	6095865.814	3693093.136	2598892.212	465758.9053	1753704.218
NSDHL	3923255.876	4455338.312	5197993.835	6827709.098	6422083.536	8218282.185
TGFBI	19318249.38	19072413.57	24140025.39	38919263.35	40231395.13	43298341.37
FKBP1A	19450821.31	22830639.45	25559592.24	14642140.85	8947356.291	3084352.563
EPS15L1	18654689.75	15888830.16	10203353.26	6892525.38	2709276.64	4696358.305
CDC37	19367462.21	20608629.17	23507431	11587058.3	14562357.48	16050272.99
ENDOD1	3478647.545	3582693.684	3863023.215	1868036.588	1135457.086	2520697.179
SMARCC1	31181.50888	56214.77409	46155.49289	714394.3648	1891788.071	1323832.852
CHP1	9196716.288	9157942.917	8781669.662	3879907.217	7138966.222	5171819.081
FLNB	160719941.9	155472719.2	154502458.8	174607898.7	182186587.4	185151485.2
GJA1	1276354.257	1241225.101	1333432.526	3007352.284	4729623.637	5671656.515
RPL22	22139027.86	19197139.39	20645032.48	30917175.81	43806992.25	40765426.24
ABRACL	2147881.149	2448586.536	2332367.323	3154475.714	3402257.809	4050727.171
MYBBP1A	2641121.373	2682951.983	2828599.995	1634710.864	1244143.319	1336653.74
CAD	3493737.579	3891604.369	3968527.029	4790046.506	5894358.306	5070764.156
PAK1	188299.4674	121043.9261	97164.98371	905966.2981	590569.3762	564039.6395
PRPF31	1714398.485	1795148.136	1948037.183	3156071.699	4298403.719	2981333.382
ITGA5	5942831.364	7199903.786	7717381.375	4262132.568	3097584.15	4358704.599
RPF2	1034728.827	1388663.978	967189.0429	1760650.695	2633085.36	2323157.498
NT5DC1	1086246.015	1263247.486	1275371.985	646039.1448	352260.1073	290574.0144
COL6A3	386805279.9	388178566.3	399010166.1	654429444.2	511161615.5	725088033.3
CD109	3106575.989	3305957.765	3803036.344	15162827.23	11911031.91	25015856.17
WDR36	1321962.45	963404.97	1267404.467	427033.6992	163655.6731	493819.606
CLTA	44705883.94	43191329.6	52983789	22401096.93	14232085.55	27055407.95
APRT	17339636.56	16623835.12	17524503.13	12514894.56	8343529.025	3403506.881
SWAP70	6065028.61	4765675.177	4731239.288	7691476.408	8423842.78	8199339.817
ALG1	561247.8492	721112.6675	586866.5257	2207947.104	1868147.568	3409588.483
DBN1	48913843.24	55818606.4	46827616.94	25477138.59	16305023.07	38011893.84
AP1G1	4530979.203	5249254.665	4528988.47	2250262.063	2824688.311	445002.9751
BPHL	505302.4889	520608.6793	460761.9091	929141.2555	1159056.533	759793.6216
FNTA	5016355.208	3598407.781	4520172.041	2945684.034	1683040.134	647012.7402
FLNA	1884851886	1839619201	1935036357	2111028311	2516055551	2398151058
PLCG1	1372444.208	1469897.749	1520519.065	2073257.154	2003839.775	2196416.104
PFAS	1558270.742	1698018.11	2336576.384	871196.9697	534383.322	267457.3426
P4HB	582356881.2	585542013	613189799.4	726590057	824418753.9	715454515.2
RBM39	6062645.539	4650909.849	4828096.04	2992561.818	605059.8653	1513526.348
EPG5	316852.3141	144231.7874	200500.7706	689423.0828	686137.7421	1285179.88
MYL12A	1127232.752	1152942.81	1370164.678	2340552.267	3683989.753	4066585.641
GTF2H2	894429.1765	1228712.168	2112302.455	243456.9566	193578.0405	189145.3088
CLTC	208245430.4	205052533.2	248554954	169843915.3	99337582.05	140929611.8
NCSTN	1838007.655	2049930.872	2571967.209	691506.2698	1265230.249	1122921.33
LSM14A	1673540.159	1766236.273	2202844.415	320658.1717	1278550.105	869770.5534
LRPAP1	25152327.31	27663687.34	28273321.14	35701235.86	38539636.07	47692384.18
IPO7	8585787.896	8061345.448	8653227.153	4818652.812	4079910.653	6069983.089
PLCB3	2717458.25	2962343.798	3278862.451	1700319.201	1958755.899	2417582.032
EEF1A1	1992193549	1924985485	2081250447	1726034412	1109267055	1069707555
RPS15	26600462.21	24902455.15	22181110.34	18004441.98	13736019.18	16360408.59
ARPC2	84352987.12	90929319.61	73367299.68	122540333.8	140492660	124311194.2
MYO1C	48557710.79	49435631.28	46922550.47	33537182.37	30725902.05	24574976.64
TRMT10C	1854562.959	1564816.631	1086075.461	2302619.066	3147472.381	3077721.037
SET	33881202.84	39221725.66	41209085.11	49346095.1	47388708.99	47213796.06
COPS7A	4381549.741	3882997.058	3937845.999	2582923.428	1213996.262	2328061.865
EEF2	779961314.3	787372288.2	839134772	639212437.2	709557416.9	565356432.9
PBLD	1397778.193	1301032.084	1618728.637	1017920.661	211039.0603	172883.1653
UPF2	184049.0818	205577.1248	271606.4508	484279.2258	696762.6644	897895.6535
SCRN1	11503094.97	9846630.179	12093536.58	15459180.11	18998847.73	15408288.63
CRIP2	19998339.66	16464964.48	14447066.03	24063368.7	37516676.77	36002540.91
FBL	3943684.299	4315891.626	6274683.181	2113965.773	2055886.865	1211579.411
LMNA	1331433830	1462010178	1381642864	1771874139	1556204197	1687801082
PACS1	3663970.666	3537301.355	4870366.459	2677613.69	2460068.765	1475350.695
TUBB3	91612782.51	103473024.8	89427638.85	72861877.47	78463341.4	83715708.97
ARL3	7078506.655	7365929.073	5355421.324	5117165.178	2060774.894	1129955.774
MATR3	46898893.01	46223666.19	45288561.62	39971999.96	37235453.81	40105068.03
ILF3	44168945.46	52975628.01	34033174.71	56028409.71	64780580.43	71926452.65
NBAS	1511102.692	592312.3092	598422.3015	2253381.878	2117397.883	1862774.467
RETSAT	1283533.285	1347688.73	1367253.666	3081215.542	2720225.059	1850487.416
FNDC3B	1116782.494	1122511.966	1639876.388	842372.5323	337119.7688	412035.6104
HSPG2	7048159.114	7482293.64	7814224.868	15572066.26	39411371.9	28971408.97
SERPINF2	1330953.839	1540988.926	1472632.61	3952460.576	10043213.13	10094396.31
RPL22L1	8227317.291	9206708.891	8104132.272	10323672.23	13552063.27	15768481.09
SEC13	22367055.39	23356429.54	25438599.68	9592236.093	15220724.54	18641739.71
WNK1	1583409.309	1505807.451	1368623.648	2200391.708	3386922.905	3424275.093
LMAN2	28339834.78	31855888.78	27324371.35	22784365.88	13102755.19	20194681.46
ORM1	293498.6662	905969.5721	659540.8263	7704052.014	7164296.923	8047826.378
PPM1G	1538530.156	1572517.566	1261884.119	3321357.403	8033898.613	4699839.144
DNAJC13	3069992.56	3288579.626	2904521.346	5564673.264	9099975.145	5287543.294
NPEPPS	21940425.87	21106867.65	21058612.3	29268979.08	25700805.4	32031874.74
TBCB	20836034.45	20491976.54	18511375.07	14553419.16	5588207.251	13748506.98
PPP1CA	17439301.27	19318728.53	14347922.67	12717622.23	679888.3899	6134666.143
RAB21	1982508.127	2729821.772	3387094.423	1551962.06	943458.098	1046414.475
MLEC	5338216.594	4410532.589	5890909.018	2453716.441	2141581.651	3302578.593
NARS1	15104619.37	16028730.03	14662323.75	5603903.992	1143181.505	12185415.67
NDUFA5	274512.9345	294012.3014	741223.9005	919127.2659	1692043.973	2339220.359
WDR26	1485980.267	1329316.174	1341120.08	959396.9766	684630.5159	885288.0082
DHX29	2653012.131	1497751.882	1788808.733	631060.8043	731373.0346	1223640.218
SRPRB	11703308.77	10364075.77	12127938.38	9045681.397	1407049.677	4026445.928
VIM	16491793107	16611640159	15246314400	10378629096	12606640408	13038585386
PA2G4	45767950.12	53090576.21	55341272.75	42178523.78	19921201.19	34230148.54
SEMA7A	7726665.295	6856351.317	9536571.308	6044548.413	2017947.356	4700258.311
EPB41L2	11510549.87	9854963.061	12410699.35	17826374.79	14383251.27	19470717.61
EXOC7	730151.0066	1352362.132	1237248.783	1598684.049	2472605.528	3054970.603
ACTR3	43613428.45	34277904.2	48812209.05	14557098.2	16002461.08	25589852.53
SUB1	41129479.33	42704285.97	45754532.89	37863632.13	30024024.84	30514219.36
RAC2	135238.7772	123292.4652	181322.7104	1253503.443	6494879.457	5868567.749
DYNC1H1	201656072	195373136	209259163.3	186194192.8	122410803.8	147582844.9
DDX27	2021945.541	2046880.204	2781776.639	1747767.463	816239.1105	145069.0326
ATP6V1D	2146994.24	2481562.776	2856234.859	1571939.076	1695931.505	1108930.689
MACROH2A2	348172.9141	339517.0757	467020.0544	770102.8895	2493883.809	2137828.686
HMGB1	65336993.87	71463786.94	51130584.34	82137583.91	95538143.88	128545060.4
TWF1	9752513.667	11802019.64	11611822.66	22543395.71	16713809.89	16494253.32
OCC1	1489288.157	1257535.95	949424.3735	660276.867	737944.3511	711069.9222
APPL2	10946830.85	10090255.65	10718324.09	14228175.63	11876443.89	13507424.46
GPX4	335902.272	102568.7673	201053.8997	977744.5301	3277390.207	4330550.913
GNG2	5272264.495	5633543.83	3785066.599	3903791.052	282742.5619	957276.1113
CHMP4B	5013546.936	4642737.507	5086013.35	6122738.813	9121619.696	9156078.575
PDGFRA	213803.9556	153058.5389	120395.5888	700363.8881	410459.49	305945.107
SRSF3	16171925.8	20554575.65	15834267.81	433159.5324	4945327.271	10017255.54
SRSF5	6014474.381	5287854.441	4353327.899	4451012.043	2644084.081	2781965.057
S100A13	49404084.7	52136615.58	71090125.4	77113309.22	83715336.92	80334585.78
CHMP2A	2467697.924	3126900.508	2187485.538	6421802.8	3449103.927	5271226.575
RPL31	76749933.53	79900315.69	61111330.8	84345399.88	98833994.26	88839561.57
FBN1	5472094.828	4865765.733	6973071.851	4549924.896	2123978.22	3254674.935
LGALS1	535080198.8	526826588.8	711141606.2	773419685.2	797177987.3	798280278.5
HBD	16467622.48	16435829.88	10743471.13	5498779.781	8459880.944	9996769.551
PIP4K2C	283664.0195	293404.81	183045.9947	636385.5406	771851.4328	1098751.496
ATP6V1C1	4536230.382	4858394.27	4845382.044	7201929.984	13134058.01	8202403.48
PMPCB	5049494.192	4087569.841	5415595.065	4125382.97	2083778.462	2503276.504
RND3	2234222.231	1611227.146	2330087.582	1152483.81	866546.4614	1679527.002
CSRP2	5448161.91	6628756.791	5115799.836	7767475.323	12643048.25	9990901.631
ORMDL1	339117.7138	240390.168	297024.8356	174550.6657	191784.3956	242772.8234
PPP3CA	3872642.633	3664541.894	3607029.381	2264943.78	2174983.028	3162653.375
TAF15	1998775.445	1779616.947	1697507.457	1622502.172	287609.3398	356650.1391
SMC1A	13537097.8	10516866.53	11505289.64	14771231.66	33439886.98	28602902.34
PPP1R12A	60658641.07	56154613.15	61055666.33	47491022.48	53415893.23	43095008.01
PQBP1	777656.0178	727095.1739	858567.3684	1179870.086	1244040.458	1883196.422
RIC8A	13181576.78	13298584.03	11001069.47	7863539.255	4336320.935	6752382.857
HDHD2	1860403.492	1314178.275	1660939.52	1150824.895	1111174.885	300256.8572
PRKCSH	37987951.11	45644436.41	37018011.53	21183231.19	12351051.38	32146472.49
RBM4	11582434.77	11197278.02	11596073.03	10007021.42	3477450.81	6129652.024
UQCRC1	24313120.18	22968276.48	19627077.01	18719208.55	15357623.68	16161118.77
ALDOA	201133101.3	183990111.9	193088545.2	208084650.6	265157113	272092453
ARF6	8881660.182	8174383.741	7182451.744	5378473.145	3843271.869	5193706.702
NIPSNAP1	4102421.16	4422978.135	6312452.837	7809420.673	7711812.258	6570874.222
RPS14	129844917.2	144578195.3	101787738.5	83662310.56	79493206.29	30839959.34
APP	570167.3605	651850.4293	333238.8519	888437.9865	1456346.732	848411.1688
SUMO1	5204217.754	5500755.78	3369103.648	6081866.499	8924815.272	10899206.36
CTSA	11408782.3	11893063.83	12431032.25	13668084.99	16251779.9	18153001.44
SH3GL1	21583351.59	22167887.32	19961565.24	25174700.59	33888237.3	25422930.08
EPN1	2228110.968	2258871.304	1771634.623	3492961.63	4590315.822	2937731.227
HGH1	1468613.008	1621851.841	1771097.756	573884.7709	818805.7406	1030337.214
CTTN	67469192.65	67339724.08	56599893.65	68675981.71	96401699.33	91544841.2
UNC45A	20713719.23	17281592.03	21799550.17	18331640.17	8363456.467	8420699.692
SNTB2	297821.3765	387777.98	567766.2897	4779638.14	1062573.795	3674388.902
GNL3	1369001.424	1418337.645	1012330.418	754456.3032	709083.1052	477637.3634
PPP6R1	740298.9629	761186.2139	444204.6225	801079.055	1592892.447	1677936.241
RPL26L1	3479029.882	2615741.972	3430472.909	4290156.635	8005258.17	5633223.265
